	Adjacency	Frequency
Dasypus_novemcinctus_2	[]	1
Nomascus_leucogenys_1	[]	1
Candidatus_Uzinura_1	[]	1
Symbiobacterium_thermophilum_2	[]	1
Fibrella_aestuarina_1	[]	1
Actinosynnema_mirum_1	[]	1
Danio_rerio_73, Danio_rerio_109	[]	1
Ovis_aries_4	[]	1
Danio_rerio_159, Danio_rerio_151	[]	1
Caenorhabditis_remanei_4	[10]	1
Caenorhabditis_japonica_3	[9]	1
Rhodococcus_erythropolis_3	[]	1
Oryza_sativa_5	[]	1
Symbiobacterium_thermophilum_1	[]	1
Oryzias_latipes_24	[]	1
Chrysemys_picta_6	[16]	1
Bos_taurus_5	[15]	1
Paenibacillus_mucilaginosus_7	[]	1
Paenibacillus_mucilaginosus_5, Paenibacillus_mucilaginosus_2, Paenibacillus_mucilaginosus_3	[]	1
Leptospira_borgpetersenii_1, Leptospira_interrogans_1	[]	1
Hydrogenobaculum_sp_1, Hydrogenobaculum_sp_2	[]	1
Sulfurihydrogenibium_sp_1	[]	1
Thermodesulfobacterium_commune_1, Thermodesulfobacterium_geofontis_1	[]	1
Jeotgalibacillus_sp_2	[]	1
Desulfomonile_tiedjei_1	[]	1
Persephonella_marina_1	[]	1
Aquifex_aeolicus_1	[]	1
Hydrogenobacter_thermophilus_1, Thermocrinis_albus_1, Thermocrinis_ruber_1	[]	1
Saprospira_grandis_1	[]	1
Sulfurihydrogenibium_azorense_1	[]	1
Niastella_koreensis_1	[]	1
Leadbetterella_byssophila_1	[]	1
Polymorphum_gilvum_1	[33]	1
Pseudovibrio_sp_1	[32]	1
Mycoplasma_conjunctivae_1	[310]	1
Parvibaculum_lavamentivorans_1	[]	1
Azorhizobium_caulinodans_1, Starkeya_novella_1	[]	1
Candidatus_Pelagibacter_1	[]	1
Xanthobacter_autotrophicus_1	[]	1
Oligotropha_carboxidovorans_1	[]	1
Bradyrhizobium_japonicum_1, Bradyrhizobium_sp_1, Bradyrhizobium_oligotrophicum_1, Bradyrhizobium_diazoefficiens_1, Rhodopseudomonas_palustris_1, Nitrobacter_winogradskyi_1, Nitrobacter_hamburgensis_1	[]	1
Pristionchus_pacificus_7	[]	1
Caenorhabditis_elegans_3	[]	1
Lachancea_thermotolerans_3	[69]	1
Methanoculleus_marisnigri_1, Methanoculleus_bourgensis_1	[45]	1
Methanoregula_boonei_1	[44]	1
Methanosphaerula_palustris_1, Methanolinea_tarda_1, Methanoregula_formicica_1	[]	1
Thermococcus_sp_1	[]	1
Ashbya_gossypii_4	[]	1
Saccharomycetaceae_sp_2, Ashbya_gossypii_2	[]	1
Yarrowia_lipolytica_3	[51]	1
Yarrowia_lipolytica_6	[50]	1
Ashbya_gossypii_3	[53, 54]	1
Ashbya_gossypii_1	[52]	1
Saccharomycetaceae_sp_1, Ashbya_gossypii_5	[52]	1
Naumovozyma_castellii_1	[]	1
Saccharomyces_cerevisiae_1, Kazachstania_africana_1, Candida_glabrata_2, Saccharomyces_sp_1, Drosophila_simulans_2, Naumovozyma_dairenensis_2, Tetrapisispora_phaffii_1, Tetrapisispora_blattae_1	[57]	1
Naumovozyma_dairenensis_3	[56]	1
Eremothecium_cymbalariae_2	[]	1
Eremothecium_cymbalariae_1, Eremothecium_cymbalariae_3	[]	1
Kluyveromyces_lactis_1	[]	1
Chrysemys_picta_5	[]	1
Danio_rerio_20	[195]	1
Ornithorhynchus_anatinus_8, Ornithorhynchus_anatinus_4, Pongo_pygmaeus_4, Macaca_mulatta_3	[197, 566]	1
Loxodonta_africana_7	[]	1
Komagataella_pastoris_1	[]	1
Kazachstania_naganishii_1	[]	1
Candida_glabrata_1, Lachancea_kluyveri_1	[69]	1
Lachancea_thermotolerans_1	[]	1
Lachancea_thermotolerans_2	[43, 67]	1
Pristionchus_pacificus_10	[]	1
Pristionchus_pacificus_9	[72]	1
Pristionchus_pacificus_3	[71]	1
Caenorhabditis_briggsae_2	[]	1
Pristionchus_pacificus_4, Pristionchus_pacificus_1	[]	1
Pristionchus_pacificus_8	[]	1
Nanoarchaeum_equitans_1	[]	1
Caenorhabditis_brenneri_3	[]	1
Caldivirga_maquilingensis_1	[]	1
Archaeoglobus_profundus_1	[]	1
Geoglobus_acetivorans_1, Archaeoglobus_fulgidus_1, Ferroglobus_placidus_1, Archaeoglobus_veneficus_1	[84]	1
Aeropyrum_pernix_1	[]	1
