	Adjacency	Frequency
Felis_catus_60	[]	1
Felis_catus_20	[]	1
Felis_catus_1	[]	1
Alteromonas_australica_1	[]	1
Oryza_sativa_2	[]	1
Medicago_truncatula_6, Brachypodium_distachyon_13, Oryza_sativa_3, Zea_mays_4, Brachypodium_distachyon_2, Brachypodium_distachyon_1, Brachypodium_distachyon_5, Oryza_sativa_18, Sorghum_bicolor_16	[6]	1
Brachypodium_distachyon_17, Arabidopsis_thaliana_14, Glycine_max_8, Vitis_vinifera_7	[5]	1
Glycine_max_9	[]	1
Oryza_sativa_8	[]	1
Paenibacillus_polymyxa_7	[]	1
Populus_trichocarpa_11	[]	1
Spirosoma_linguale_3	[]	1
Fibrella_aestuarina_2	[]	1
Niastella_koreensis_3	[]	1
Callorhinchus_milii_46	[]	1
Felis_catus_18	[]	1
Gallionella_capsiferriformans_1	[]	1
Thermomonospora_curvata_4	[]	1
Mesotoga_prima_1	[]	1
Geospiza_fortis_1, Geospiza_fortis_3	[]	1
Kosmotoga_olearia_2	[]	1
Marinitoga_piezophila_1	[]	1
Ruegeria_pomeroyi_2	[]	1
Sphingobium_sp_4	[]	1
Thermotoga_caldifontis_3, Thermotoga_profunda_3, Pseudothermotoga_thermarum_1, Pseudothermotoga_lettingae_3, Pseudothermotoga_elfii_3, Pseudothermotoga_hypogea_2	[]	1
Thermacetogenium_phaeum_2	[]	1
Sorghum_bicolor_2	[]	1
Bacillus_thuringiensis_4	[]	1
Alkaliphilus_metalliredigens_3	[]	1
Alkaliphilus_oremlandii_1	[]	1
Oscillibacter_valericigenes_3	[]	1
Acaryochloris_marina_1	[]	1
Clostridium_cellulosi_1	[]	1
Oscillibacter_valericigenes_2, Ethanoligenens_harbinense_3, Faecalibacterium_prausnitzii_3	[]	1
Oscillibacter_valericigenes_1	[]	1
Variovorax_paradoxus_5	[]	1
Ruminococcus_sp_1	[]	1
Ruminococcus_obeum_3	[]	1
Ruminococcus_albus_1	[]	1
Paenibacillus_durus_3, Paenibacillus_beijingensis_3, Paenibacillus_graminis_3, Paenibacillus_stellifer_3, Paenibacillus_sabinae_3	[40]	1
Paenibacillus_sp_3, Paenibacillus_borealis_3	[39]	1
Paenibacillus_larvae_4, Thermobacillus_composti_2	[]	1
Odoribacter_splanchnicus_3	[]	1
Cyanobacterium_stanieri_1	[]	1
Gramella_forsetii_2	[]	1
Ethanoligenens_harbinense_1	[]	1
Akkermansia_muciniphila_1	[]	1
Thermosediminibacter_oceani_1	[]	1
Ruminococcus_bicirculans_2	[57]	1
Deinococcus_maricopensis_3	[]	1
Deinococcus_geothermalis_3, Deinococcus_peraridilitoris_3, Deinococcus_proteolyticus_1, Deinococcus_deserti_3, Deinococcus_swuensis_3, Deinococcus_radiodurans_1, Deinococcus_gobiensis_2	[]	1
Deinococcus_proteolyticus_3	[]	1
Deinococcus_proteolyticus_2, Deinococcus_deserti_2, Deinococcus_gobiensis_3	[]	1
Deinococcus_geothermalis_2, Deinococcus_peraridilitoris_1, Deinococcus_swuensis_1, Deinococcus_maricopensis_2	[]	1
Lachnoclostridium_phytofermentans_2	[]	1
Clostridium_saccharolyticum_1, Butyrivibrio_proteoclasticus_2, butyrate-producing_bacterium_2	[]	1
Clostridium_cf_2	[]	1
Ethanoligenens_harbinense_2, Clostridium_cellulosi_2	[48]	1
Ruminococcus_bromii_3	[]	1
Acetobacterium_woodii_1, Eubacterium_limosum_3	[]	1
Peptoclostridium_difficile_1	[]	1
Mageeibacillus_indolicus_1	[]	1
Clostridium_sticklandii_1, Eubacterium_acidaminophilum_1, Clostridium_sordellii_1	[]	1
Filifactor_alocis_1	[]	1
Prevotella_ruminicola_3	[]	1
Ruminococcus_albus_3	[]	1
Eubacterium_siraeum_1	[]	1
Ruminococcus_champanellensis_2	[]	1
Ruminococcus_bicirculans_3	[]	1
Ruminococcus_bromii_2	[]	1
Medicago_truncatula_1, Brachypodium_distachyon_16, Zea_mays_11, Arabidopsis_thaliana_10, Glycine_max_11, Vitis_vinifera_17, Sorghum_bicolor_15	[]	1
Candidatus_Azobacteroides_2	[]	1
Roseburia_hominis_2	[74]	1
Clostridium_sp_5	[]	1
Clostridium_sp_4	[72]	1
Lactobacillus_salivarius_2	[]	1
Candidatus_Hepatoplasma_1	[]	1
Spiroplasma_mirum_1, Spiroplasma_chrysopicola_1, Spiroplasma_syrphidicola_1	[]	1
Candidatus_Carsonella_2	[]	1
Desulfobulbus_propionicus_1	[]	1
Desulfovibrio_vulgaris_1	[]	1
Candidatus_Paracaedibacter_1	[]	1
Melioribacter_roseus_1	[]	1
Desulfocapsa_sulfexigens_1	[]	1
Ignavibacterium_album_3	[]	1
Bacillus_anthracis_3	[]	1
Staphylococcus_haemolyticus_3, Melissococcus_plutonius_2	[]	1
Candidatus_Carsonella_3	[]	1
Fusobacterium_nucleatum_2, Fusobacterium_nucleatum_3, Fusobacterium_nucleatum_1, Fusobacterium_nucleatum_4	[]	1
Candidatus_Carsonella_5, Candidatus_Carsonella_4	[]	1
Candidatus_Carsonella_1	[]	1
Halomonas_sp_1, Halomonas_campaniensis_3	[]	1
Fibrobacter_succinogenes_3	[]	1
Granulicella_tundricola_1	[]	1
Geobacter_sp_4, Geobacter_sp_3, Geobacter_bemidjiensis_3	[]	1
Bacteroides_salanitronis_2, Bacteroides_vulgatus_4, Bacteroides_fragilis_3, Bacteroides_helcogenes_1, Bacteroidales_bacterium_2, Bacteroides_thetaiotaomicron_1, Bacteroides_dorei_2	[]	1
Hydrogenobaculum_sp_2	[]	1
Neisseria_meningitidis_5, Neisseria_meningitidis_2, Rhodoferax_ferrireducens_3, Candidatus_Symbiobacter_2, Neisseria_gonorrhoeae_3, Neisseria_gonorrhoeae_4, Neisseria_elongata_3, Neisseria_lactamica_2, Neisseria_meningitidis_4	[]	1
Rhizobium_gallicum_2	[]	1
Rhizobium_sp_7	[]	1
Moraxella_catarrhalis_1	[]	1
Desulfotalea_psychrophila_1	[]	1
Oleispira_antarctica_2	[]	1
Anaplasma_phagocytophilum_1	[]	1
Anaplasma_centrale_1, Anaplasma_marginale_1	[]	1
Ehrlichia_sp_1, Ehrlichia_muris_2, Ehrlichia_chaffeensis_2	[106]	1
Ehrlichia_canis_2	[105]	1
Kyrpidia_tusciae_1	[]	1
Alicyclobacillus_acidocaldarius_2	[]	1
Lysinibacillus_varians_1, Solibacillus_silvestris_1, Lysinibacillus_fusiformis_2, Lysinibacillus_sphaericus_1	[]	1
Lactobacillus_reuteri_2	[]	1
Photobacterium_gaetbulicola_2	[]	1
Bifidobacterium_pseudolongum_1, Bifidobacterium_adolescentis_2, Bifidobacterium_animalis_4, Bifidobacterium_animalis_2, Bifidobacterium_dentium_2, Bifidobacterium_kashiwanohense_2	[]	1
Corynebacterium_callunae_2	[]	1
Corynebacterium_casei_2, Corynebacterium_singulare_1, Corynebacterium_aurimucosum_1, Corynebacterium_glutamicum_5, Corynebacterium_glutamicum_2, Corynebacterium_camporealensis_2	[]	1
Corynebacterium_vitaeruminis_1, Corynebacterium_diphtheriae_1	[]	1
Corynebacterium_variabile_3, Corynebacterium_terpenotabidum_3	[654]	1
Corynebacterium_jeikeium_3, Corynebacterium_halotolerans_2, Corynebacterium_marinum_2, Corynebacterium_atypicum_1, Corynebacterium_glyciniphilum_1, Corynebacterium_humireducens_2, Corynebacterium_efficiens_2, Corynebacterium_falsenii_3	[655]	1
