	Adjacency	Frequency
Equus_caballus_2	[]	1
Ceratotherium_simum_3	[]	1
Ceratotherium_simum_5	[]	1
Gadus_morhua_6, Oryzias_latipes_2	[]	1
Danio_rerio_43	[]	1
Gasterosteus_aculeatus_24	[]	1
Caenorhabditis_japonica_7	[]	1
Nostoc_punctiforme_2	[]	1
Caenorhabditis_japonica_9	[]	1
Myceliophthora_thermophila_1	[]	1
Candidatus_Zinderia_1	[]	1
Paenibacillus_mucilaginosus_2	[]	1
Actinoplanes_friuliensis_1	[]	1
Sphaerochaeta_pleomorpha_1	[]	1
Sphaerochaeta_globosa_1	[]	1
Sphaerochaeta_coccoides_1	[]	1
Flavobacteriaceae_bacterium_1, Elizabethkingia_anophelis_2, Chryseobacterium_sp_1, Elizabethkingia_anophelis_1, Elizabethkingia_sp_1	[]	1
Riemerella_anatipestifer_1, Weeksella_virosa_1	[21]	1
Variovorax_paradoxus_3	[]	1
Rhodoluna_lacicola_1	[]	1
Acidithiobacillus_ferrooxidans_2	[]	1
Ornithobacterium_rhinotracheale_1	[17]	1
Campylobacter_coli_1, Campylobacter_concisus_1, Campylobacter_jejuni_1, Campylobacter_curvus_1	[]	1
Acinetobacter_baumannii_2	[24]	1
Pseudomonas_syringae_1, Pseudomonas_mendocina_1, Pseudomonas_mosselii_2, Acinetobacter_calcoaceticus_1, Pseudomonas_fluorescens_1, Pseudomonas_fulva_1, Pseudomonas_brassicacearum_1, Pseudomonas_protegens_1, Pseudomonas_stutzeri_1, Pseudomonas_aeruginosa_2, Pseudomonas_chlororaphis_1, Halothiobacillus_neapolitanus_1, Psychrobacter_sp_1, Pseudomonas_denitrificans_1, Pseudomonas_knackmussii_1, Pseudomonas_rhizosphaerae_1, Pseudomonas_sp_3, Pseudomonas_sp_2, Pseudomonas_cremoricolorata_1, Pseudomonas_poae_1, Pseudomonas_pseudoalcaligenes_1, Pseudomonas_entomophila_2, Pseudomonas_resinovorans_1, Psychrobacter_cryohalolentis_1, Pseudomonas_mandelii_1, Pseudomonas_parafulva_1, Acinetobacter_baumannii_1, Azotobacter_vinelandii_1, Moraxella_catarrhalis_1, Pseudomonas_alkylphenolia_1, Pseudomonas_plecoglossicida_1, Pseudomonas_balearica_1, Pseudomonas_simiae_1, Azotobacter_chroococcum_1, Acinetobacter_oleivorans_1, Pseudomonas_cichorii_1, Pseudomonas_putida_1, Acinetobacter_sp_1, Psychrobacter_arcticus_1, Pseudomonas_savastanoi_1, Pseudomonas_monteilii_1	[23, 26]	1
Sulfuricurvum_kujiense_1	[]	1
Moraxella_catarrhalis_2	[24]	1
Pseudomonas_sp_1	[]	1
Loxodonta_africana_6	[]	1
Trichechus_manatus_11	[]	1
Loxodonta_africana_12	[]	1
Dasypus_novemcinctus_2	[]	1
Gadus_morhua_12, Gadus_morhua_5	[]	1
Loxodonta_africana_8	[]	1
Methanocorpusculum_labreanum_1	[]	1
Methanospirillum_hungatei_1	[]	1
Methanoculleus_marisnigri_1, Methanoculleus_bourgensis_1	[]	1
Methanosphaerula_palustris_1	[]	1
Methanoregula_boonei_1, Methanoregula_formicica_1	[]	1
Methanolinea_tarda_1	[]	1
Methanolacinia_petrolearia_1	[]	1
Staphylothermus_marinus_1	[]	1
Ferroplasma_acidarmanus_1	[]	1
Thermoproteus_neutrophilus_1	[]	1
Vulcanisaeta_moutnovskia_1, Vulcanisaeta_distributa_1	[]	1
Thermoplasma_acidophilum_1, Thermoplasma_volcanium_1	[]	1
Methanopyrus_kandleri_1	[]	1
Nanoarchaeum_equitans_1	[]	1
Caldivirga_maquilingensis_1	[]	1
Salinarchaeum_sp_1, Halobacterium_sp_2, Halobacterium_salinarum_1	[]	1
Halorhabdus_utahensis_1, Haloarcula_sp_1, Halogeometricum_borinquense_1, Haloarcula_marismortui_1, Natronococcus_occultus_1, Halorhabdus_tiamatea_1, Haloarcula_hispanica_1, Halomicrobium_mukohataei_1, Halorubrum_lacusprofundi_1, Halalkalicoccus_jeotgali_1, Haloterrigena_turkmenica_1	[]	1
Pyrococcus_sp_1, Pyrococcus_furiosus_1, Thermococcus_eurythermalis_1, Pyrococcus_yayanosii_1, Thermococcus_gammatolerans_1, Thermococcus_sp_2, Thermococcus_kodakarensis_1, Pyrococcus_horikoshii_1, Thermococcus_nautili_1	[]	1
Thermococcus_sp_3, Thermococcus_litoralis_1, Thermococcus_sp_1, Thermococcus_onnurineus_1, Thermococcus_sibiricus_1, Palaeococcus_pacificus_1, Thermococcus_barophilus_1	[]	1
Archaeoglobus_profundus_1	[]	1
Ferroglobus_placidus_1	[55]	1
Geoglobus_acetivorans_1	[54]	1
Archaeoglobus_sulfaticallidus_1	[]	1
Candidatus_Korarchaeum_1	[]	1
Natrinema_sp_1, Natronobacterium_gregoryi_1, Halobacterium_sp_1, Halostagnicola_larsenii_1	[]	1
Natronomonas_moolapensis_1, Halovivax_ruber_1, Haloferax_mediterranei_1, Halopiger_xanaduensis_1, Haloferax_volcanii_1, Natronococcus_occultus_2, Natrinema_pellirubrum_1, Natronomonas_pharaonis_1, Natrialba_magadii_1	[60]	1
Haloquadratum_walsbyi_1	[59]	1
Candidatus_Methanoplasma_1	[]	1
Candidatus_Methanomassiliicoccus_1	[]	1
Methanotorris_igneus_1	[64]	1
Methanothermococcus_okinawensis_1, Methanococcus_vannielii_1, Methanococcus_maripaludis_2, Methanococcus_voltae_1	[63]	1
Methanobacterium_lacus_1, Methanobacterium_paludis_1	[]	1
Methanocaldococcus_fervens_1, Methanocaldococcus_sp_1, Methanocaldococcus_jannaschii_1, Methanocaldococcus_infernus_1, Methanocaldococcus_vulcanius_1	[]	1
Methanobacterium_sp_1, Methanothermobacter_sp_1, Methanothermobacter_thermautotrophicus_1, Methanothermus_fervidus_1, Methanothermobacter_marburgensis_1, Methanobacterium_formicicum_1	[68]	1
Methanobrevibacter_ruminantium_1	[67]	1
Actinoplanes_sp_2	[]	1
Metallosphaera_sedula_1, Metallosphaera_cuprina_1	[]	1
Thermosphaera_aggregans_1, Desulfurococcus_mucosus_1, Desulfurococcus_kamchatkensis_1, Staphylothermus_hellenicus_1	[]	1
Ignisphaera_aggregans_1	[]	1
Acidilobus_saccharovorans_1	[74]	1
Hyperthermus_butylicus_1, Aeropyrum_pernix_1, Ignicoccus_hospitalis_1	[73]	1
Sulfolobus_islandicus_1, Sulfolobus_solfataricus_1	[76]	1
Sulfolobus_acidocaldarius_1	[75]	1
Acidianus_hospitalis_1	[]	1
Debaryomyces_hansenii_2	[]	1
Anaerolinea_thermophila_2	[]	1
Picrophilus_torridus_1	[]	1
Methanosphaera_stadtmanae_1	[]	1
Methanobrevibacter_smithii_1, Methanobrevibacter_sp_1	[]	1
Campylobacter_hominis_1	[]	1
Bartonella_tribocorum_1	[114]	1
Candidatus_Saccharimonas_1	[]	1
Candidatus_Saccharibacteria_2	[]	1
Methylobacterium_nodulans_1, Methylobacterium_sp_1	[]	1
Caulobacter_segnis_1, Caulobacter_crescentus_1, Caulobacter_sp_1	[]	1
Arcobacter_butzleri_2	[]	1
Pseudomonas_entomophila_1, Pseudomonas_mosselii_1	[92]	1
Nitratifractor_salsuginis_1, Sulfurovum_sp_1	[]	1
Campylobacter_volucris_1, Campylobacter_peloridis_1, Campylobacter_subantarcticus_1, Sulfurospirillum_deleyianum_1, Campylobacter_insulaenigrae_1, Campylobacter_sp_1, Campylobacter_fetus_2, Campylobacter_lari_1, Campylobacter_iguaniorum_1, Sulfurospirillum_barnesii_1, Campylobacter_fetus_1, Campylobacter_fetus_3, Sulfurospirillum_multivorans_1	[90]	1
Arcobacter_nitrofigilis_1	[]	1
