	Adjacency	Frequency
Candidatus_Nasuia_3	[]	1
Strongylocentrotus_purpuratus_9	[269]	1
Anolis_carolinensis_2, Gadus_morhua_106, Trichechus_manatus_5, Petromyzon_marinus_22, Xenopus_tropicalis_32, Petromyzon_marinus_72	[]	1
Kribbella_flavida_3	[]	1
Canis_familiaris_15	[]	1
Arabidopsis_thaliana_9, Medicago_truncatula_7, Zea_mays_35, Oryza_sativa_17, Brachypodium_distachyon_24, Zea_mays_48, Zea_mays_47	[]	1
Medicago_truncatula_8, Arabidopsis_thaliana_16	[7]	1
Vitis_vinifera_16, Zea_mays_45	[6, 331]	1
Sorghum_bicolor_23	[]	1
Myxococcus_xanthus_4	[]	1
Cyberlindnera_jadinii_3	[]	1
Candidatus_Hodgkinia_4	[]	1
Gasterosteus_aculeatus_33, Xenopus_tropicalis_31, Petromyzon_marinus_10, Petromyzon_marinus_35	[13]	1
Petromyzon_marinus_11	[12]	1
Danio_rerio_74, Danio_rerio_53	[]	1
Magnaporthe_oryzae_4	[]	1
Verticillium_dahliae_1	[]	1
Drosophila_simulans_4, Drosophila_sechellia_7	[]	1
Gadus_morhua_94, Xenopus_tropicalis_8, Petromyzon_marinus_73	[]	1
Drosophila_persimilis_2	[]	1
Botrytis_cinerea_1	[]	1
Fusarium_verticillioides_2	[]	1
Magnaporthe_oryzae_1	[]	1
Leishmania_major_2	[]	1
Ogataea_parapolymorpha_1	[]	1
Gadus_morhua_49, Pongo_pygmaeus_6, Anolis_carolinensis_3	[26, 27]	1
Danio_rerio_68	[25]	1
Gadus_morhua_41	[25]	1
Gadus_morhua_109	[45]	1
Danio_rerio_174	[61]	1
Strongylocentrotus_purpuratus_22	[]	1
Gadus_morhua_61, Chrysemys_picta_5, Loxodonta_africana_21, Loxodonta_africana_27, Gadus_morhua_31, Gadus_morhua_15, Gadus_morhua_77, Petromyzon_marinus_79, Petromyzon_marinus_37	[81]	1
Gadus_morhua_44, Gadus_morhua_36, Gadus_morhua_74	[33, 34, 69]	1
Gadus_morhua_76	[32]	1
Danio_rerio_52	[32]	1
Ceratotherium_simum_5, Danio_rerio_46	[44]	1
Gadus_morhua_21	[52]	1
Bos_taurus_7	[38, 45]	1
Takifugu_rubripes_10	[37]	1
Strongylocentrotus_purpuratus_7, Strongylocentrotus_purpuratus_8, Strongylocentrotus_purpuratus_5, Strongylocentrotus_purpuratus_21	[40, 54, 198]	1
Drosophila_erecta_2, Drosophila_simulans_1, Drosophila_yakuba_2, Drosophila_grimshawi_3, Drosophila_grimshawi_1, Drosophila_virilis_2, Drosophila_pseudoobscura_2, Drosophila_mojavensis_2, Drosophila_melanogaster_3, Drosophila_sechellia_3, Drosophila_ananassae_5, Drosophila_willistoni_1, Strongylocentrotus_purpuratus_25, Drosophila_persimilis_1	[39, 55, 83]	1
Anopheles_gambiae_4	[84]	1
Ornithorhynchus_anatinus_2, Ornithorhynchus_anatinus_12	[]	1
Loxodonta_africana_1	[47]	1
