	Adjacency	Frequency
Trichechus_manatus_2	[]	1
Mustela_putorius_2	[]	1
Drosophila_simulans_3	[]	1
Gadus_morhua_40, Gasterosteus_aculeatus_67	[]	1
Spermophilus_tridecemlineatus_25	[]	1
Callorhinchus_milii_284	[]	1
Callorhinchus_milii_165	[]	1
Callorhinchus_milii_283	[]	1
Petromyzon_marinus_38	[]	1
Callorhinchus_milii_203	[2326]	1
Vitis_vinifera_12	[]	1
Caenorhabditis_japonica_6, Caenorhabditis_remanei_5	[12]	1
Caenorhabditis_briggsae_3	[11]	1
Callorhinchus_milii_103	[]	1
Sorghum_bicolor_5	[]	1
Pristionchus_pacificus_49	[]	1
Loxodonta_africana_27	[]	1
Callorhinchus_milii_138	[]	1
Gasterosteus_aculeatus_3	[]	1
Pristionchus_pacificus_16	[]	1
Chrysemys_picta_32	[]	1
Oryzias_latipes_48, Oryzias_latipes_56	[]	1
Danio_rerio_352	[]	1
Danio_rerio_218	[]	1
Danio_rerio_260	[2281]	1
Defluviitoga_tunisiensis_2	[]	1
Kosmotoga_olearia_3, Mesotoga_prima_1	[]	1
Thermotoga_naphthophila_1, Thermotoga_maritima_3, Thermotoga_caldifontis_2, Thermotoga_profunda_1, Pseudothermotoga_thermarum_1, Thermotoga_sp_1, Thermotoga_neapolitana_1, Pseudothermotoga_lettingae_1, Thermotoga_petrophila_1, Pseudothermotoga_elfii_1, Pseudothermotoga_hypogea_1	[]	1
Fervidobacterium_nodosum_1, Thermosipho_melanesiensis_2, Thermosipho_africanus_2, Fervidobacterium_pennivorans_1	[]	1
Petrotoga_mobilis_2	[]	1
Marinitoga_piezophila_2	[]	1
Microcoleus_sp_2	[]	1
Takifugu_rubripes_24	[]	1
Aspergillus_fumigatus_1	[]	1
Trichechus_manatus_12	[]	1
Loxodonta_africana_1	[]	1
Oreochromis_niloticus_15	[]	1
Onion_yellows_2, Aster_yellows_2	[38]	1
Candidatus_Phytoplasma_6, Candidatus_Phytoplasma_1	[37]	1
Candidatus_Phytoplasma_4	[]	1
Sphaerochaeta_pleomorpha_3, Sphaerochaeta_globosa_3	[]	1
Sphaerochaeta_coccoides_2	[]	1
Spirochaeta_smaragdinae_3	[]	1
Fibrobacter_succinogenes_2	[]	1
candidate_division_3	[]	1
Synechococcus_sp_19	[]	1
Desulfotalea_psychrophila_2	[]	1
Opitutus_terrae_1	[]	1
Brachyspira_pilosicoli_2, Brachyspira_pilosicoli_4	[]	1
Brachyspira_murdochii_1	[]	1
Desulfovibrio_hydrothermalis_4	[]	1
Coriobacteriaceae_bacterium_3, Gordonibacter_pamelaeae_1, Adlercreutzia_equolifaciens_1, Eggerthella_sp_2, Cryptobacterium_curtum_2, Eggerthella_lenta_1	[]	1
Thermodesulfobium_narugense_2	[]	1
Megasphaera_elsdenii_1	[]	1
Saprospira_grandis_2	[]	1
Thermosipho_africanus_1	[82]	1
Rhodothermus_marinus_5, Rhodothermus_marinus_2	[]	1
Mesotoga_prima_2	[]	1
Kosmotoga_olearia_1	[]	1
Desulfurivibrio_alkaliphilus_3	[]	1
Moorella_thermoacetica_1	[]	1
Fervidobacterium_nodosum_2, Fervidobacterium_pennivorans_3	[]	1
Kosmotoga_olearia_2, Mesotoga_prima_3	[]	1
Salinibacter_ruber_1	[]	1
Pristionchus_pacificus_42	[201]	1
candidate_division_2	[]	1
Propionibacterium_acnes_1, Propionibacterium_acnes_4, Propionibacterium_avidum_1	[]	1
Bacillus_thuringiensis_7	[]	1
Ignavibacterium_album_2	[]	1
Treponema_primitia_1	[]	1
Treponema_caldaria_3	[]	1
Treponema_azotonutricium_2	[]	1
Roseburia_intestinalis_3	[]	1
Candidatus_Evansia_2	[]	1
Chitinophaga_pinensis_4	[]	1
Rickettsia_canadensis_3	[]	1
Rickettsia_monacensis_3	[]	1
Desulfitobacterium_dichloroeliminans_1, Desulfosporosinus_meridiei_3	[]	1
Desulfobacula_toluolica_3	[]	1
Chloroflexus_sp_3, Chloroflexus_aggregans_3, Chloroflexus_aurantiacus_3	[]	1
Nitrosopumilus_maritimus_1	[]	1
Candidatus_Sulcia_7, Candidatus_Sulcia_4	[763]	1
Thermosipho_melanesiensis_3	[55]	1
Odoribacter_splanchnicus_3	[]	1
Mycoplasma_fermentans_1	[]	1
Yersinia_enterocolitica_4, Yersinia_similis_4	[]	1
Mycoplasma_agalactiae_2, Mycoplasma_conjunctivae_2, Mycoplasma_bovis_2, Mycoplasma_bovis_4, Mycoplasma_bovoculi_1, Mycoplasma_hyorhinis_2, Mycoplasma_dispar_1, Mycoplasma_flocculare_1, Mycoplasma_hyopneumoniae_2	[]	1
Gemmatimonas_aurantiaca_2	[]	1
Gemmatimonadetes_bacterium_2	[]	1
Lactobacillus_fermentum_3	[]	1
Strongylocentrotus_purpuratus_23, Strongylocentrotus_purpuratus_25	[91]	1
Strongylocentrotus_purpuratus_24	[90]	1
Encephalitozoon_romaleae_3	[138]	1
Pelobacter_carbinolicus_3, Geoalkalibacter_subterraneus_3	[]	1
Mycobacterium_neoaurum_3, Mycobacterium_sp_7, Mycobacterium_abscessus_4, Mycobacterium_abscessus_6, Mycobacterium_abscessus_2	[]	1
Phycisphaera_mikurensis_3	[]	1
Thermus_sp_1, Thermus_scotoductus_2, Thermus_oshimai_2, Thermus_thermophilus_2	[]	1
Candidatus_Solibacter_1	[]	1
Geobacter_metallireducens_1	[]	1
Desulfococcus_oleovorans_1	[]	1
Aciduliprofundum_sp_1, Aciduliprofundum_boonei_1	[]	1
Isosphaera_pallida_1	[]	1
Thermodesulfovibrio_yellowstonii_1	[]	1
Geobacter_sulfurreducens_1	[]	1
Aciduliprofundum_boonei_3	[]	1
Plasmodium_falciparum_2	[]	1
Candidatus_Methanoplasma_3	[]	1
Candidatus_Methanomassiliicoccus_3	[]	1
Sorangium_cellulosum_4	[]	1
Sorangium_cellulosum_1	[]	1
Chlorobium_phaeobacteroides_2, Prosthecochloris_aestuarii_1	[111]	1
Chlorobium_phaeobacteroides_4, Chlorobium_limicola_1	[110]	1
Mycobacterium_smegmatis_5, Mycobacterium_rhodesiae_3	[]	1
Arcanobacterium_haemolyticum_1	[]	1
Singulisphaera_acidiphila_1	[]	1
Kyrpidia_tusciae_2	[]	1
Mycobacterium_avium_3	[]	1
Alicyclobacillus_acidocaldarius_2	[]	1
Actinobaculum_schaalii_1	[]	1
Eubacterium_eligens_3	[]	1
Pristionchus_pacificus_3, Pristionchus_pacificus_26	[]	1
Bifidobacterium_longum_4	[]	1
Archaeoglobus_fulgidus_1, Archaeoglobus_sulfaticallidus_1	[]	1
Geoglobus_acetivorans_1, Archaeoglobus_veneficus_1, Archaeoglobus_fulgidus_4	[]	1
Ferroglobus_placidus_2, Archaeoglobus_profundus_2	[]	1
Cyanothece_sp_1	[126]	1
Candidatus_Atelocyanobacterium_2	[125]	1
Oryza_sativa_3, Sorghum_bicolor_20, Zea_mays_6, Brachypodium_distachyon_9	[128]	1
Brachypodium_distachyon_19	[127]	1
Vitis_vinifera_10	[]	1
Zea_mays_18	[]	1
Orientia_tsutsugamushi_5	[894]	1
Desulfotomaculum_gibsoniae_2, Pelotomaculum_thermopropionicum_2	[]	1
Carboxydothermus_hydrogenoformans_2, Desulfotomaculum_kuznetsovii_3	[]	1
Pediococcus_claussenii_1	[]	1
Pediococcus_pentosaceus_1	[]	1
Megasphaera_elsdenii_3	[]	1
Corynebacterium_ureicelerivorans_3	[]	1
Encephalitozoon_hellem_3	[92, 231]	1
Candidatus_Methanomassiliicoccus_1	[]	1
Thermoplasmatales_archaeon_3	[]	1
Thiolapillus_brandeum_3	[]	1
Akkermansia_muciniphila_2	[]	1
Thermoplasmatales_archaeon_1	[]	1
endosymbiont_of_6	[]	1
Clostridium_clariflavum_4	[]	1
Candidatus_Methanoplasma_2	[]	1
Candidatus_Methanomassiliicoccus_2	[]	1
Thermoplasma_acidophilum_2, Thermoplasma_acidophilum_1, Picrophilus_torridus_2, Picrophilus_torridus_3, Thermoplasma_volcanium_1, Thermoplasma_volcanium_2	[]	1
Faecalibacterium_prausnitzii_7	[]	1
Geobacter_lovleyi_1	[]	1
Niastella_koreensis_1	[]	1
Candidatus_Liberibacter_6, Candidatus_Liberibacter_3	[153]	1
Candidatus_Liberibacter_7	[152]	1
Anaerococcus_prevotii_1	[]	1
Bifidobacterium_pseudolongum_2, Bifidobacterium_animalis_2, Bifidobacterium_thermophilum_3, Bifidobacterium_dentium_2, Bifidobacterium_bifidum_3, Bifidobacterium_adolescentis_2, Bifidobacterium_kashiwanohense_2	[]	1
Bifidobacterium_longum_3, Bifidobacterium_breve_3	[]	1
Lactobacillus_salivarius_3, Lactobacillus_ruminis_3	[]	1
