	Adjacency	Frequency
Callorhinchus_milii_137	[]	1
Danio_rerio_587	[]	1
Gemmatimonas_aurantiaca_5	[]	1
Xenopus_tropicalis_84, Xenopus_tropicalis_47, Danio_rerio_408, Danio_rerio_366	[4]	1
Danio_rerio_34	[3, 63]	1
Drosophila_sechellia_3	[]	1
Oryzias_latipes_20	[]	1
Takifugu_rubripes_32	[]	1
Danio_rerio_8	[]	1
Dokdonia_sp_5	[]	1
Chryseobacterium_sp_3	[]	1
Candidatus_Zinderia_2	[]	1
Campylobacter_coli_2, Campylobacter_coli_4, Campylobacter_jejuni_4, Campylobacter_jejuni_3	[]	1
Flexibacter_litoralis_3	[]	1
Candidatus_Carsonella_18	[]	1
Candidatus_Carsonella_15	[]	1
Bacillus_thuringiensis_10, Bacillus_toyonensis_6, Bacillus_toyonensis_1, Bacillus_anthracis_2, Bacillus_cereus_10, Bacillus_mycoides_1, Bacillus_mycoides_5, Bacillus_weihenstephanensis_1, Bacillus_weihenstephanensis_2, Bacillus_thuringiensis_2, Bacillus_thuringiensis_7, Bacillus_cereus_1, Bacillus_cereus_9, Bacillus_bombysepticus_2, Bacillus_megaterium_8, Bacillus_megaterium_6, Bacillus_megaterium_3, Bacillus_cytotoxicus_1, Bacillus_bombysepticus_6	[]	1
Myceliophthora_thermophila_2	[]	1
Runella_slithyformis_1, Emticicia_oligotrophica_1, Cytophaga_hutchinsonii_3, Leadbetterella_byssophila_2	[]	1
Dyadobacter_fermentans_1	[]	1
Fibrella_aestuarina_3	[]	1
Spirosoma_radiotolerans_4, Spirosoma_linguale_4	[]	1
Spirosoma_radiotolerans_2, Spirosoma_linguale_2	[]	1
Psychroflexus_torquis_3	[]	1
Dyadobacter_fermentans_3	[]	1
Bacillus_thuringiensis_12	[]	1
Haliscomenobacter_hydrossis_4	[]	1
Neisseria_lactamica_4, Neisseria_gonorrhoeae_3, Neisseria_meningitidis_4	[]	1
Hymenobacter_swuensis_1, Hymenobacter_sp_2, Hymenobacter_sp_6	[]	1
Dokdonia_sp_1, Flavobacterium_psychrophilum_1, Nonlabens_marinus_3, Aequorivita_sublithincola_3	[30]	1
