	Adjacency	Frequency
Felis_catus_14	[]	1
Heterocephalus_glaber_13	[]	1
Candidatus_Nasuia_1	[]	1
Trichechus_manatus_1	[]	1
Felis_catus_1	[]	1
Bos_taurus_301	[]	1
Oreochromis_niloticus_8	[]	1
Arthrobacter_aurescens_2, Arthrobacter_sp_4	[]	1
Bos_taurus_212	[]	1
Fluviicola_taffensis_1	[]	1
Candidatus_Carsonella_4	[]	1
Kitasatospora_setae_2	[]	1
Streptomyces_cyaneogriseus_1	[]	1
Caenorhabditis_brenneri_5, Caenorhabditis_brenneri_1	[]	1
Streptomyces_sp_3, Streptomyces_griseus_2, Streptomyces_pratensis_2	[]	1
Streptomyces_vietnamensis_1, Streptomyces_venezuelae_1	[16]	1
Streptomyces_albus_3	[15]	1
Candidatus_Uzinura_1	[]	1
Isosphaera_pallida_1	[]	1
Heliobacterium_modesticaldum_1	[]	1
Flammulina_velutipes_3	[]	1
Flammulina_velutipes_2	[]	1
Ruminococcus_albus_2	[]	1
Burkholderia_oklahomensis_2	[]	1
Arabidopsis_thaliana_4	[]	1
Hahella_chejuensis_1	[]	1
Actinoplanes_sp_1	[]	1
Danio_rerio_29	[]	1
Eubacterium_rectale_2	[]	1
Granulicella_tundricola_2	[]	1
Granulicella_mallensis_2	[]	1
Acidobacterium_capsulatum_2	[]	1
Terriglobus_roseus_1	[]	1
Acidithiobacillus_caldus_1, Acidithiobacillus_caldus_3	[]	1
Jeotgalibacillus_sp_2	[]	1
Methanocella_arvoryzae_2	[]	1
Methanocella_arvoryzae_3	[]	1
Bacillus_thuringiensis_4	[]	1
Methanocella_conradii_1	[]	1
Methanocella_paludicola_1	[]	1
Methanocella_arvoryzae_4	[]	1
Methanocella_conradii_2	[]	1
Danio_rerio_38	[]	1
Methanocella_arvoryzae_1	[]	1
Methanocella_paludicola_2, Methanocella_conradii_3	[]	1
Methanosarcina_siciliae_2, Methanosarcina_acetivorans_2	[]	1
Methanosarcina_vacuolata_1, Methanosarcina_mazei_1, Methanosarcina_acetivorans_1, Methanosarcina_sp_1, Methanosarcina_horonobensis_1, Methanosarcina_barkeri_2, Methanosarcina_thermophila_1, Methanosarcina_lacustris_1, Methanosarcina_siciliae_1	[]	1
Methanospirillum_hungatei_1	[]	1
Methanomethylovorans_hollandica_2	[]	1
Methanobrevibacter_ruminantium_1	[]	1
Methanosphaera_stadtmanae_1	[]	1
Methanosaeta_concilii_1	[]	1
Methanohalophilus_mahii_1, Methanohalobium_evestigatum_1	[]	1
Methanosalsum_zhilinae_1, Methanococcoides_burtonii_1, Methanosarcina_mazei_2, Methanolobus_psychrophilus_1, Methanosarcina_sp_7, Methanosarcina_horonobensis_3, Methanomethylovorans_hollandica_1, Methanococcoides_methylutens_2, Methanococcoides_methylutens_1, Methanosarcina_thermophila_2, Methanosarcina_lacustris_3	[]	1
Methanolacinia_petrolearia_1	[]	1
Methanosphaerula_palustris_2, Methanosphaerula_palustris_4	[]	1
Methanoculleus_marisnigri_1, Methanoculleus_bourgensis_1	[]	1
Methanoregula_boonei_2, Methanolinea_tarda_1, Methanoregula_formicica_4	[]	1
Methanobacterium_paludis_2	[59]	1
Methanobacterium_sp_2, Methanobacterium_lacus_2, Methanobacterium_formicicum_2	[58]	1
Methanothermobacter_sp_1, Methanothermobacter_marburgensis_1, Methanothermobacter_thermautotrophicus_1	[]	1
Methanococcus_aeolicus_1	[62]	1
Methanococcus_vannielii_1, Methanococcus_maripaludis_2, Methanococcus_maripaludis_1, Methanococcus_voltae_1	[61]	1
Methanoregula_formicica_2	[]	1
Methanosphaerula_palustris_5	[]	1
Methanosphaerula_palustris_6	[]	1
Methanolobus_psychrophilus_3	[]	1
Methanoregula_boonei_3	[]	1
Geoglobus_acetivorans_1, Archaeoglobus_fulgidus_1, Archaeoglobus_veneficus_1	[]	1
Archaeoglobus_profundus_1, Ferroglobus_placidus_1	[]	1
Archaeoglobus_sulfaticallidus_1	[]	1
Methanothermococcus_okinawensis_1	[]	1
Methanocorpusculum_labreanum_1	[]	1
Acidianus_hospitalis_1	[]	1
Caldivirga_maquilingensis_1, Pyrobaculum_arsenaticum_1, Pyrobaculum_calidifontis_1, Pyrobaculum_oguniense_1	[]	1
Methanosphaerula_palustris_3	[]	1
Methanobacterium_paludis_1	[]	1
Methanobacterium_lacus_1, Methanobacterium_sp_1, Methanobacterium_formicicum_1	[]	1
Methanolobus_psychrophilus_2	[]	1
Methanothermus_fervidus_1	[]	1
Nanoarchaeum_equitans_1	[]	1
Nocardiopsis_alba_1	[]	1
Pedobacter_saltans_2	[]	1
Thermococcus_sp_2, Thermococcus_eurythermalis_1, Thermococcus_nautili_1, Thermococcus_gammatolerans_1, Thermococcus_kodakarensis_1	[]	1
Thermococcus_litoralis_1, Palaeococcus_pacificus_1, Thermococcus_sibiricus_1	[87]	1
Pyrococcus_sp_2, Pyrococcus_furiosus_1, Pyrococcus_yayanosii_1, Pyrococcus_sp_1, Pyrococcus_horikoshii_1	[]	1
Thermococcus_sp_3, Thermococcus_barophilus_1	[]	1
Thermococcus_sp_1, Thermococcus_onnurineus_1	[84]	1
Methanotorris_igneus_1, Methanocaldococcus_sp_1, Methanocaldococcus_jannaschii_1, Methanocaldococcus_fervens_1, Methanocaldococcus_infernus_1, Methanocaldococcus_vulcanius_1	[]	1
Candidatus_Korarchaeum_1	[]	1
Methanospirillum_hungatei_2, Methanoregula_boonei_1	[]	1
Methanosphaerula_palustris_1	[]	1
Ogataea_parapolymorpha_1	[]	1
Felis_catus_16	[]	1
Felis_catus_8	[]	1
Felis_catus_15	[]	1
Felis_catus_2	[]	1
Felis_catus_17	[]	1
Felis_catus_18	[]	1
Actinoplanes_sp_4	[]	1
Nocardia_brasiliensis_1, Nocardia_cyriacigeorgica_1, Nocardia_farcinica_1	[]	1
Mycobacterium_smegmatis_1	[]	1
Rhodococcus_erythropolis_3	[]	1
Saccharomycetaceae_sp_1, Ashbya_gossypii_1	[]	1
Lachancea_thermotolerans_2	[]	1
Millerozyma_farinosa_1	[]	1
Debaryomyces_hansenii_1, Saccharomyces_cerevisiae_1, Kazachstania_africana_1, Naumovozyma_castellii_1, Kluyveromyces_lactis_1, Cyberlindnera_jadinii_1, Cyberlindnera_jadinii_2, Eremothecium_cymbalariae_1, Candida_glabrata_1, Kazachstania_naganishii_2, Saccharomyces_sp_1, Torulaspora_delbrueckii_1, Lachancea_thermotolerans_1, Lachancea_kluyveri_2, Lachancea_kluyveri_1, Zygosaccharomyces_rouxii_1, Scheffersomyces_stipitis_1, Naumovozyma_dairenensis_1, Tetrapisispora_blattae_1, Tetrapisispora_phaffii_1	[107, 108]	1
Kazachstania_naganishii_1, Kazachstania_naganishii_3	[106]	1
Millerozyma_farinosa_2	[106]	1
Methanosarcina_vacuolata_3, Methanosarcina_sp_4	[110, 111]	1
Methanosarcina_horonobensis_2	[109]	1
Methanosarcina_barkeri_4, Methanosarcina_thermophila_3	[109]	1
Sulfurovum_sp_1	[]	1
Terriglobus_saanensis_2	[]	1
Verticillium_dahliae_3	[]	1
Neurospora_crassa_2	[]	1
Thielavia_terrestris_2	[]	1
Neurospora_crassa_1	[]	1
Myceliophthora_thermophila_1	[120]	1
Myceliophthora_thermophila_2	[]	1
Thielavia_terrestris_1	[118]	1
Verticillium_dahliae_2	[]	1
Aspergillus_fumigatus_2	[]	1
Physcomitrella_patens_2	[]	1
Arcobacter_nitrofigilis_1	[]	1
Arcobacter_butzleri_1, Arcobacter_butzleri_2, Arcobacter_sp_1	[]	1
Physcomitrella_patens_4, Physcomitrella_patens_1	[]	1
Tarsius_syrichta_12	[]	1
Fluviicola_taffensis_2	[]	1
Thermoplasma_acidophilum_1, Picrophilus_torridus_1, Thermoplasma_volcanium_1	[]	1
Fusarium_pseudograminearum_3, Fusarium_graminearum_3	[]	1
Fusarium_pseudograminearum_2, Fusarium_pseudograminearum_1, Fusarium_graminearum_2, Fusarium_graminearum_1, Fusarium_verticillioides_4, Fusarium_verticillioides_1, Fusarium_verticillioides_3, Fusarium_verticillioides_2	[]	1
Leishmania_major_1	[]	1
Hydrogenobacter_thermophilus_1, Thermocrinis_albus_1, Thermocrinis_ruber_1	[]	1
Petrotoga_mobilis_1	[]	1
Defluviitoga_tunisiensis_1	[]	1
Marinitoga_piezophila_1	[]	1
alpha_proteobacterium_1	[]	1
Blattabacterium_sp_4	[]	1
Methanobrevibacter_smithii_1	[]	1
Methanobrevibacter_sp_1	[]	1
Mageeibacillus_indolicus_1	[]	1
Mycoplasma_dispar_1, Mycoplasma_hyopneumoniae_1	[]	1
Mycoplasma_conjunctivae_1	[]	1
Anaeromyxobacter_sp_1, Anaeromyxobacter_dehalogenans_1	[]	1
Gemmatimonadetes_bacterium_1	[]	1
Maricaulis_maris_1	[]	1
endosymbiont_of_2	[148]	1
Candidatus_Sulcia_4, Candidatus_Sulcia_3, Blattabacterium_sp_3, Blattabacterium_sp_2, Blattabacterium_sp_5	[147, 149]	1
Blattabacterium_sp_1	[148]	1
Blochmannia_endosymbiont_1	[]	1
Clostridium_tetani_2	[152]	1
Clostridium_botulinum_4, Clostridium_saccharobutylicum_2	[151]	1
Candidatus_Sulcia_5	[]	1
Candidatus_Sulcia_1	[]	1
Bacillus_pseudofirmus_2	[157]	1
Chamaesiphon_minutus_1	[]	1
Bacillus_sp_6	[155]	1
Sneathia_sp_1	[]	1
Bacillus_mycoides_1, Bacillus_cereus_3	[]	1
Vitis_vinifera_3	[]	1
Zobellia_galactanivorans_1, Cellulophaga_lytica_2	[]	1
Muricauda_ruestringensis_1	[166]	1
Capnocytophaga_ochracea_1, Capnocytophaga_canimorsus_1, Gramella_forsetii_1	[]	1
Zunongwangia_profunda_1	[]	1
Candidatus_Pelagibacter_2	[]	1
Cellulophaga_baltica_2, Cellulophaga_algicola_2	[162]	1
Bradyrhizobium_japonicum_1, Bradyrhizobium_sp_2, Oligotropha_carboxidovorans_1, Nitrobacter_winogradskyi_1, Rhodopseudomonas_palustris_5	[174]	1
Nitrobacter_hamburgensis_1	[]	1
Azorhizobium_caulinodans_1	[]	1
Candidatus_Pelagibacter_1	[]	1
Hyphomicrobium_denitrificans_1	[172]	1
Parvularcula_bermudensis_1, Methyloceanibacter_caenitepidi_1, Parvibaculum_lavamentivorans_1, Starkeya_novella_1, Xanthobacter_autotrophicus_1	[171]	1
Hyphomicrobium_nitrativorans_1, Hyphomicrobium_sp_1	[]	1
Bradyrhizobium_sp_1, Bradyrhizobium_oligotrophicum_1	[167]	1
Candidatus_Endolissoclinum_1, Candidatus_Endolissoclinum_2	[]	1
Geoalkalibacter_subterraneus_1, Pelobacter_carbinolicus_1	[]	1
Acholeplasma_laidlawii_1	[]	1
Rhodopseudomonas_palustris_4	[]	1
Sphingomonas_taxi_1, Sphingomonas_sp_2, Sphingomonas_sanxanigenens_1	[]	1
Sphingomonas_sp_1, Sphingomonas_wittichii_1, Erythrobacter_litoralis_1	[515]	1
Novosphingobium_pentaromativorans_1, Sphingobium_sp_1, Novosphingobium_sp_1, Sphingopyxis_alaskensis_1, Sphingobium_chlorophenolicum_1, Sphingopyxis_sp_1, Sphingobium_japonicum_1	[]	1
alpha_proteobacterium_2	[]	1
Candidatus_Puniceispirillum_1	[]	1
Caulobacter_sp_1	[]	1
Caulobacter_segnis_1, Caulobacter_crescentus_1	[]	1
Hyphomonas_neptunium_1	[]	1
endosymbiont_of_1	[197]	1
endosymbiont_of_3	[]	1
Thermaerobacter_marianensis_1	[]	1
Hirschia_baltica_1	[]	1
Rhodospirillum_rubrum_1, Rhodospirillum_photometricum_1, Magnetospirillum_gryphiswaldense_1	[]	1
Methanohalophilus_mahii_2	[]	1
Candidatus_Caedibacter_1, Candidatus_Paracaedibacter_1	[]	1
Tistrella_mobilis_1	[]	1
Sulfurihydrogenibium_azorense_1, Sulfurihydrogenibium_sp_1	[]	1
Magnetococcus_marinus_1	[]	1
Magnetospirillum_magneticum_1	[187]	1
Streptomyces_glaucescens_1	[]	1
Streptomyces_nodosus_1	[]	1
Streptomyces_fulvissimus_1	[]	1
Streptomyces_violaceusniger_1, Streptomyces_rapamycinicus_2	[]	1
Streptomyces_hygroscopicus_1, Streptomyces_collinus_1	[203]	1
Streptomyces_sp_2, Streptomyces_davawensis_2, Streptomyces_lydicus_2, Streptomyces_albulus_1, Streptomyces_albus_2, Streptomyces_avermitilis_2, Streptomyces_bingchenggensis_2, Streptomyces_scabiei_2	[202]	1
Phycisphaera_mikurensis_1	[]	1
Candidatus_Liberibacter_2	[]	1
Methylobacterium_nodulans_1, Bartonella_henselae_2, Bartonella_henselae_1, Methylobacterium_radiotolerans_1, Brucella_pinnipedialis_1, Brucella_canis_1, Methylobacterium_extorquens_1, Sinorhizobium_medicae_1, Methylobacterium_populi_1, Bartonella_grahamii_1, Mesorhizobium_australicum_1, Agrobacterium_vitis_1, Methylocella_silvestris_1, Ensifer_adhaerens_1, Ochrobactrum_anthropi_1, Rhizobium_gallicum_1, Beijerinckia_indica_1, Brucella_ceti_1, Agrobacterium_tumefaciens_1, Methylobacterium_sp_1, Agrobacterium_sp_1, Brucella_abortus_1, Neorhizobium_galegae_1, Rhizobium_tropici_1, Brucella_suis_1, Methylobacterium_oryzae_1, Agrobacterium_radiobacter_1, Rhizobium_etli_1, Chelativorans_sp_1, Rhizobium_sp_1, Mesorhizobium_opportunistum_1, Brucella_ovis_1, Sinorhizobium_fredii_1, Mesorhizobium_ciceri_2, Mesorhizobium_huakuii_2, Brucella_melitensis_1, Agrobacterium_fabrum_1, Bartonella_vinsonii_1, Rhizobium_leguminosarum_1, Bartonella_quintana_1, Mesorhizobium_loti_2	[219]	1
Martelella_endophytica_1, Sinorhizobium_meliloti_1	[]	1
Methylocystis_sp_1	[]	1
Pelagibacterium_halotolerans_1	[]	1
Polymorphum_gilvum_1	[]	1
Mesorhizobium_huakuii_1, Mesorhizobium_ciceri_1, Mesorhizobium_loti_1	[]	1
Pseudovibrio_sp_1	[]	1
Brevundimonas_subvibrioides_1	[]	1
Phenylobacterium_zucineum_1	[]	1
Asticcacaulis_excentricus_1	[]	1
candidate_division_2	[]	1
Xanthomonas_citri_1, Xanthomonas_oryzae_1, Xanthomonas_fuscans_1, Xanthomonas_axonopodis_1, Xanthomonas_campestris_1	[]	1
Bartonella_australis_1	[219]	1
Bartonella_tribocorum_1, Bartonella_bacilliformis_1	[206, 218]	1
Chlorobium_phaeovibrioides_1	[221]	1
Chlorobium_chlorochromatii_1, Chlorobium_phaeobacteroides_2, Chlorobium_phaeobacteroides_1, Pelodictyon_phaeoclathratiforme_1, Prosthecochloris_aestuarii_1, Chlorobium_limicola_1	[220]	1
Helicobacter_cinaedi_1	[]	1
Rubrobacter_radiotolerans_1	[224]	1
Anabaena_cylindrica_1	[223]	1
Ruminococcus_bromii_1	[]	1
Campylobacter_fetus_1, Campylobacter_iguaniorum_1	[]	1
Pelotomaculum_thermopropionicum_1	[230]	1
Selenomonas_ruminantium_1	[]	1
Filifactor_alocis_1	[]	1
Desulfotomaculum_gibsoniae_1	[227]	1
Nostoc_sp_2, Anabaena_sp_1, Calothrix_sp_1, Nostoc_sp_4, Rivularia_sp_1	[235]	1
Cylindrospermum_stagnale_1	[237]	1
Desulfovibrio_piezophilus_1, Desulfovibrio_salexigens_1, Desulfovibrio_desulfuricans_1, Desulfovibrio_aespoeensis_1	[]	1
Alkaliphilus_oremlandii_2, Finegoldia_magna_1, Cyanothece_sp_2, Acidaminococcus_intestini_1	[446]	1
Thermoanaerobacter_sp_1, Thermoanaerobacter_mathranii_1, Thermoanaerobacter_pseudethanolicus_1, Thermoanaerobacter_italicus_1, Thermoanaerobacter_kivui_1, Pleurocapsa_sp_1, Candidatus_Cloacimonas_1, Chroococcidiopsis_thermalis_1, Thermoanaerobacter_brockii_1, Thermoanaerobacter_wiegelii_1	[231, 447]	1
Pelosinus_fermentans_1, Pelosinus_sp_2	[]	1
Nodularia_spumigena_1	[232]	1
Parvimonas_micra_1	[]	1
Desulfotomaculum_kuznetsovii_1	[]	1
Caldanaerobacter_subterraneus_1	[]	1
Selenomonas_sputigena_1	[]	1
Herpetosiphon_aurantiacus_1	[]	1
Leptotrichia_buccalis_1	[]	1
Thermodesulfovibrio_yellowstonii_1	[]	1
Chloroflexus_aggregans_1, Chloroflexus_aurantiacus_1, Chloroflexus_sp_1	[]	1
Ilumatobacter_coccineus_1	[]	1
Calditerrivibrio_nitroreducens_1	[]	1
Thermodesulfobium_narugense_1	[]	1
Anaerolinea_thermophila_1	[]	1
Adlercreutzia_equolifaciens_1	[]	1
Coriobacteriaceae_bacterium_1, Coriobacterium_glomerans_1, Cryptobacterium_curtum_1, Eggerthella_lenta_1, Gordonibacter_pamelaeae_1, Eggerthella_sp_1	[]	1
Mahella_australiensis_1	[]	1
Geobacter_lovleyi_1, Geobacter_uraniireducens_1, Pelobacter_propionicus_1	[283]	1
Acidaminococcus_fermentans_1	[468]	1
Mesotoga_prima_1	[]	1
Fusobacterium_nucleatum_1, Fusobacterium_nucleatum_2	[]	1
Fervidobacterium_pennivorans_1, Kosmotoga_olearia_1, Fervidobacterium_nodosum_1	[]	1
Ilyobacter_polytropus_1	[]	1
Thermotoga_profunda_1	[]	1
Denitrovibrio_acetiphilus_1	[]	1
Flexistipes_sinusarabici_1	[]	1
Deferribacter_desulfuricans_1	[]	1
Aquifex_aeolicus_1	[]	1
Roseiflexus_castenholzii_1, Roseiflexus_sp_1, Dehalogenimonas_lykanthroporepellens_1	[]	1
Dehalococcoides_mccartyi_1	[268]	1
Sulfobacillus_acidophilus_1	[]	1
Caldilinea_aerophila_1	[]	1
Thermobaculum_terrenum_1	[265]	1
Thermosipho_melanesiensis_1, Thermosipho_africanus_1	[]	1
Desulfobulbus_propionicus_1	[]	1
Conexibacter_woesei_1	[]	1
Sebaldella_termitidis_1	[]	1
Olsenella_uli_1, Atopobium_parvulum_1	[]	1
Slackia_heliotrinireducens_1	[]	1
Verrucomicrobium_spinosum_1	[]	1
Janthinobacterium_agaricidamnosum_1	[277]	1
Janthinobacterium_agaricidamnosum_2	[276]	1
Phaeobacter_inhibens_1, Ruegeria_pomeroyi_1, Leisingera_methylohalidivorans_1, Roseobacter_denitrificans_1, Roseibacterium_elongatum_1, Jannaschia_sp_1, Ruegeria_sp_1, Celeribacter_indicus_1, Dinoroseobacter_shibae_1, Phaeobacter_gallaeciensis_1	[]	1
Octadecabacter_antarcticus_1, Octadecabacter_arcticus_1, Roseobacter_litoralis_1	[]	1
Bacillus_thuringiensis_1	[]	1
Streptobacillus_moniliformis_1	[]	1
Pseudanabaena_sp_1	[]	1
Chloroherpeton_thalassium_1	[253]	1
Candidatus_Kinetoplastibacterium_3, Candidatus_Kinetoplastibacterium_2	[]	1
Bordetella_holmesii_1, Castellaniella_defragrans_1, Bordetella_bronchiseptica_1, Bordetella_pertussis_1, Bordetella_petrii_1, Achromobacter_xylosoxidans_3, Bordetella_avium_1, Bordetella_parapertussis_1	[]	1
Advenella_kashmirensis_1, Advenella_mimigardefordensis_1, Basilea_psittacipulmonis_1	[]	1
Treponema_brennaborense_1	[]	1
Paenibacillus_polymyxa_1, Paenibacillus_graminis_1, Paenibacillus_terrae_2, Paenibacillus_polymyxa_2, Paenibacillus_odorifer_1, Paenibacillus_sp_2, Paenibacillus_sp_1	[293]	1
Ethanoligenens_harbinense_2	[300]	1
Myxococcus_stipitatus_1, Myxococcus_fulvus_1, Clostridium_cellulosi_1, Myxococcus_xanthus_1, Corallococcus_coralloides_1, Ethanoligenens_harbinense_1	[301]	1
Stigmatella_aurantiaca_1	[292]	1
Caldicellulosiruptor_hydrothermalis_1, Caldicellulosiruptor_saccharolyticus_1, Caldicellulosiruptor_kronotskyensis_1, Caldicellulosiruptor_owensensis_1, Caldicellulosiruptor_bescii_1, Caldicellulosiruptor_obsidiansis_1, Caldicellulosiruptor_lactoaceticus_1, Caldicellulosiruptor_kristjanssonii_1	[291]	1
Paenibacillus_beijingensis_1, Thermobacillus_composti_1, Paenibacillus_sp_5, Paenibacillus_mucilaginosus_3, Paenibacillus_larvae_1	[288, 306]	1
Jeotgalicoccus_sp_1	[]	1
Exiguobacterium_antarcticum_1, Exiguobacterium_sibiricum_1	[296]	1
Exiguobacterium_sp_2	[295]	1
Exiguobacterium_sp_1	[]	1
Macrococcus_caseolyticus_1	[299]	1
