	Adjacency	Frequency
Verticillium_dahliae_7	[]	1
Pristionchus_pacificus_40, Pristionchus_pacificus_20, Pristionchus_pacificus_34, Pristionchus_pacificus_1	[]	1
Pristionchus_pacificus_24	[]	1
Pristionchus_pacificus_39	[]	1
Methanobrevibacter_ruminantium_1	[]	1
Methanothermobacter_sp_1, Methanobacterium_lacus_1, Methanobacterium_sp_1, Methanothermobacter_thermautotrophicus_1, Methanothermobacter_marburgensis_1, Methanobacterium_formicicum_1, Methanobacterium_paludis_1	[]	1
Methanobrevibacter_smithii_1, Methanobrevibacter_sp_1	[]	1
Methanococcus_vannielii_1, Methanococcus_maripaludis_1, Methanococcus_voltae_1	[]	1
Pyrococcus_sp_1, Pyrococcus_furiosus_1, Pyrococcus_yayanosii_1, Thermococcus_litoralis_1, Thermococcus_gammatolerans_1, Thermococcus_sp_2, Thermococcus_kodakarensis_1, Pyrococcus_horikoshii_1, Thermococcus_nautili_1, Thermococcus_sibiricus_1	[]	1
Palaeococcus_pacificus_1	[]	1
Thermococcus_sp_1, Thermococcus_onnurineus_1, Thermococcus_barophilus_1	[]	1
Methanotorris_igneus_1	[]	1
Methanocaldococcus_infernus_1	[]	1
Methanothermus_fervidus_1	[]	1
Methanosphaera_stadtmanae_1	[]	1
Pristionchus_pacificus_10	[]	1
Natrinema_sp_1, Haloquadratum_walsbyi_1, Halorhabdus_utahensis_1, Haloarcula_sp_1, Natronomonas_pharaonis_1, Natrinema_pellirubrum_1, Natronomonas_moolapensis_1, Halovivax_ruber_1, Natrialba_magadii_1, Halopiger_xanaduensis_1, Natronobacterium_gregoryi_1, Haloarcula_marismortui_1, Natronococcus_occultus_1, Halorhabdus_tiamatea_1, Haloarcula_hispanica_1, Salinarchaeum_sp_1, Halomicrobium_mukohataei_1, Halobacterium_sp_1, Halobacterium_sp_2, Halorubrum_lacusprofundi_1, Halostagnicola_larsenii_1, Haloterrigena_turkmenica_1, Halobacterium_salinarum_1	[]	1
Haloferax_mediterranei_1, Halogeometricum_borinquense_1, Haloferax_volcanii_1, Halalkalicoccus_jeotgali_1	[]	1
Methanopyrus_kandleri_1	[]	1
Methanothermococcus_okinawensis_1, Methanocaldococcus_fervens_1, Methanocaldococcus_jannaschii_1, Methanocaldococcus_sp_1, Methanocaldococcus_vulcanius_1	[]	1
Methanococcus_aeolicus_1	[]	1
Fibrella_aestuarina_3	[]	1
Methanobrevibacter_ruminantium_2	[]	1
Chroococcidiopsis_thermalis_3	[]	1
Danio_rerio_71	[]	1
Candidatus_Blochmannia_2, Candidatus_Blochmannia_3	[26, 597]	1
Candidatus_Blochmannia_1	[25]	1
Terriglobus_roseus_1, Candidatus_Koribacter_1, Acidobacterium_capsulatum_1, Granulicella_mallensis_1, Terriglobus_saanensis_1, Granulicella_tundricola_1	[]	1
Simiduia_agarivorans_1	[]	1
Teredinibacter_turnerae_1, Saccharophagus_degradans_1, Cellvibrio_japonicus_1	[]	1
Chloracidobacterium_thermophilum_1	[]	1
Corynebacterium_humireducens_1	[]	1
Corynebacterium_glutamicum_1, Corynebacterium_callunae_1, Corynebacterium_efficiens_1	[]	1
Corynebacterium_maris_1	[]	1
Corynebacterium_urealyticum_1	[]	1
Corynebacterium_variabile_1, Corynebacterium_glyciniphilum_1	[]	1
Corynebacterium_halotolerans_1, Corynebacterium_imitans_1, Corynebacterium_singulare_1, Corynebacterium_doosanense_1, Corynebacterium_camporealensis_1, Corynebacterium_ureicelerivorans_1, Corynebacterium_aurimucosum_1	[38]	1
Corynebacterium_terpenotabidum_1	[39]	1
Corynebacterium_ulcerans_1, Corynebacterium_pseudotuberculosis_1, Corynebacterium_pseudotuberculosis_2, Corynebacterium_vitaeruminis_1, Corynebacterium_diphtheriae_1	[36]	1
Corynebacterium_kutscheri_1	[37]	1
Kutzneria_albida_1	[]	1
Corynebacterium_marinum_1	[]	1
Dermacoccus_nishinomiyaensis_1	[]	1
Xylanimonas_cellulosilytica_1	[]	1
Corynebacterium_casei_1	[]	1
Caenorhabditis_brenneri_8	[]	1
candidate_division_2	[]	1
Candidatus_Saccharimonas_1	[]	1
Candidatus_Saccharibacteria_1	[]	1
Corynebacterium_atypicum_1	[]	1
Saccharopolyspora_erythraea_1	[]	1
Danio_rerio_1	[]	1
Mesorhizobium_australicum_2	[]	1
Brachypodium_distachyon_3	[]	1
Danio_rerio_74	[]	1
Candidatus_Saccharibacteria_2	[]	1
Oreochromis_niloticus_16	[]	1
Tarsius_syrichta_6	[]	1
Streptococcus_agalactiae_2, Streptococcus_agalactiae_4, Streptococcus_dysgalactiae_1, Streptococcus_iniae_1, Streptococcus_pyogenes_2, Streptococcus_uberis_1, Streptococcus_pyogenes_1, Streptococcus_equi_1, Streptococcus_equi_2, Streptococcus_parauberis_1	[59]	1
Streptococcus_agalactiae_5	[58]	1
