	Adjacency	Frequency
Loxodonta_africana_203	[]	1
Loxodonta_africana_368	[]	1
Methanococcoides_methylutens_1, Methanosalsum_zhilinae_2	[10]	1
Methanococcoides_burtonii_3	[11]	1
Flammulina_velutipes_15	[]	1
Cryptococcus_gattii_1, Cryptococcus_neoformans_1	[]	1
Loxodonta_africana_551	[]	1
Methanohalobium_evestigatum_2	[8]	1
Methanosarcina_vacuolata_4, Methanohalophilus_mahii_1, Methanosarcina_mazei_3, Methanosarcina_barkeri_1, Methanosarcina_sp_4, Methanosarcina_thermophila_1, Methanosarcina_horonobensis_2	[7, 10]	1
Methanomethylovorans_hollandica_1, Methanolobus_psychrophilus_3	[]	1
Methanosarcina_vacuolata_1, Methanosarcina_mazei_2, Methanosarcina_barkeri_8, Methanosarcina_barkeri_5, Methanosarcina_barkeri_3, Methanosarcina_acetivorans_1, Methanosarcina_siciliae_3, Methanosarcina_siciliae_2, Methanosarcina_sp_1, Methanosarcina_sp_6, Methanosarcina_horonobensis_3	[2, 8]	1
Methanosarcina_lacustris_2, Methanosarcina_lacustris_1	[3]	1
Loxodonta_africana_76	[502]	1
Loxodonta_africana_447, Loxodonta_africana_383	[503]	1
Trichechus_manatus_179	[]	1
Trichechus_manatus_249	[]	1
Trichechus_manatus_834	[]	1
Trichechus_manatus_888	[]	1
Loxodonta_africana_461	[]	1
Loxodonta_africana_119	[]	1
Trichechus_manatus_160	[]	1
Felis_catus_26	[]	1
Torulaspora_delbrueckii_1	[]	1
Fusarium_graminearum_20	[]	1
Candida_dubliniensis_4, Candida_albicans_3	[]	1
Trichechus_manatus_648	[]	1
Callorhinchus_milii_16	[]	1
Felis_catus_5	[]	1
Trichechus_manatus_899	[]	1
Loxodonta_africana_682	[]	1
Dasypus_novemcinctus_243	[]	1
Callorhinchus_milii_28	[]	1
Trichechus_manatus_901	[]	1
Loxodonta_africana_206	[]	1
Loxodonta_africana_600	[]	1
Trichechus_manatus_1128	[134]	1
Trichechus_manatus_39	[]	1
Loxodonta_africana_664	[]	1
Loxodonta_africana_449	[]	1
Trichechus_manatus_8	[]	1
Pristionchus_pacificus_5	[41]	1
Caenorhabditis_japonica_10, Caenorhabditis_japonica_12, Caenorhabditis_japonica_19	[40]	1
Loxodonta_africana_573	[]	1
Danio_rerio_321	[]	1
Danio_rerio_438, Danio_rerio_430	[46]	1
Trichechus_manatus_825	[]	1
Danio_rerio_113	[44]	1
Loxodonta_africana_466	[]	1
Trichechus_manatus_1057	[50]	1
Trichechus_manatus_939	[]	1
Loxodonta_africana_316	[48]	1
Trichechus_manatus_800	[]	1
Loxodonta_africana_673	[]	1
Loxodonta_africana_93	[55]	1
Gadus_morhua_22	[]	1
Loxodonta_africana_315	[53]	1
Trichechus_manatus_1091	[57]	1
Danio_rerio_270, Trichechus_manatus_374	[56, 75]	1
Trichechus_manatus_216	[]	1
Trichechus_manatus_420	[63]	1
Danio_rerio_634, Danio_rerio_635, Danio_rerio_261, Ornithorhynchus_anatinus_14	[61]	1
Danio_rerio_340, Danio_rerio_296	[60, 62, 69]	1
Ornithorhynchus_anatinus_39	[61]	1
Loxodonta_africana_667	[59, 71]	1
Trichechus_manatus_74	[]	1
Trichechus_manatus_284, Trichechus_manatus_6	[66]	1
Danio_rerio_511	[65]	1
Loxodonta_africana_13, Loxodonta_africana_205	[82]	1
Loxodonta_africana_279	[]	1
Danio_rerio_300, Danio_rerio_308	[61]	1
