	Adjacency	Frequency
Chryseobacterium_sp_1	[]	1
Taeniopygia_guttata_6	[]	1
Danio_rerio_254	[]	1
Danio_rerio_525	[575]	1
Oryctolagus_cuniculus_21	[]	1
Danio_rerio_544	[622]	1
Paenibacillus_polymyxa_8	[]	1
Encephalitozoon_intestinalis_2	[]	1
Cricetulus_griseus_1	[]	1
Danio_rerio_462	[12]	1
Ailuropoda_melanoleuca_125	[]	1
Danio_rerio_449	[12]	1
Danio_rerio_447, Danio_rerio_442	[9, 11]	1
Cavia_porcellus_20	[]	1
Streptococcus_equi_1	[776]	1
Tursiops_truncatus_78	[]	1
Felis_catus_145	[]	1
Canis_familiaris_257	[]	1
Canis_familiaris_290	[]	1
Felis_catus_212	[]	1
Ailuropoda_melanoleuca_558	[]	1
Ailuropoda_melanoleuca_329	[]	1
Ailuropoda_melanoleuca_135	[]	1
Canis_familiaris_170	[]	1
Ailuropoda_melanoleuca_683	[]	1
Chrysemys_picta_30	[]	1
Felis_catus_207	[]	1
Felis_catus_548	[]	1
Mustela_putorius_202	[832]	1
Felis_catus_510	[]	1
Cricetulus_griseus_73	[]	1
Mustela_putorius_81	[]	1
Mustela_putorius_67	[]	1
Canis_familiaris_228	[]	1
Latimeria_chalumnae_15	[]	1
Chrysemys_picta_27	[887]	1
Felis_catus_178	[]	1
Ailuropoda_melanoleuca_654	[]	1
Mustela_putorius_210, Ailuropoda_melanoleuca_295	[45, 922]	1
Felis_catus_837	[]	1
Felis_catus_694	[44]	1
Felis_catus_293	[]	1
Felis_catus_457	[]	1
Ailuropoda_melanoleuca_577	[]	1
Felis_catus_430	[40]	1
Canis_familiaris_398	[38]	1
Canis_familiaris_296	[]	1
Gorilla_gorilla_17, Nomascus_leucogenys_1, Pongo_pygmaeus_21	[]	1
Callithrix_jacchus_13	[]	1
Ailuropoda_melanoleuca_240	[]	1
Felis_catus_673	[]	1
Trichechus_manatus_11	[]	1
Danio_rerio_611	[1086]	1
Mustela_putorius_265	[]	1
Ailuropoda_melanoleuca_68	[]	1
Ailuropoda_melanoleuca_599	[1122]	1
Mus_musculus_4	[]	1
Zea_mays_25	[]	1
Ailuropoda_melanoleuca_650	[]	1
Zea_mays_29	[]	1
Zea_mays_44	[]	1
Zea_mays_54	[]	1
Gasterosteus_aculeatus_53	[]	1
Gadus_morhua_22	[]	1
Gadus_morhua_43	[]	1
Danio_rerio_112	[]	1
Halothermothrix_orenii_3	[]	1
Thermaerobacter_marianensis_2	[]	1
Salinibacter_ruber_1	[]	1
Pseudomonas_stutzeri_2	[]	1
Rhodothermus_marinus_1	[]	1
Candidatus_Nasuia_1	[]	1
Ehrlichia_ruminantium_3, Ehrlichia_ruminantium_2	[]	1
Zea_mays_55	[78]	1
Mustela_putorius_72	[]	1
Ailuropoda_melanoleuca_461	[]	1
Ailuropoda_melanoleuca_703	[]	1
Canis_familiaris_94	[]	1
Zea_mays_77, Zea_mays_41	[73]	1
Zea_mays_58	[]	1
Canis_familiaris_50	[]	1
Chrysemys_picta_39	[84]	1
Myotis_lucifugus_8	[85]	1
Papio_anubis_4	[93]	1
Erinaceus_europaeus_32, Ornithorhynchus_anatinus_40	[81, 97]	1
Ornithorhynchus_anatinus_24	[82, 100]	1
Mus_musculus_10	[]	1
Zea_mays_57	[]	1
Danio_rerio_172, Bos_taurus_52	[89, 90, 91, 118]	1
Pan_troglodytes_3	[88]	1
Danio_rerio_653	[88]	1
Ornithorhynchus_anatinus_14	[88]	1
Danio_rerio_626	[]	1
Macaca_mulatta_5	[83]	1
Oryctolagus_cuniculus_27	[97]	1
Danio_rerio_389	[]	1
Dasypus_novemcinctus_32	[98, 124, 146]	1
Gadus_morhua_69, Danio_rerio_62, Danio_rerio_712, Dasypus_novemcinctus_25, Mus_musculus_12, Erinaceus_europaeus_60, Erinaceus_europaeus_42, Cricetulus_griseus_54, Danio_rerio_50, Danio_rerio_57, Oryctolagus_cuniculus_10, Danio_rerio_96	[84, 94, 98, 99, 126, 147, 1985]	1
Danio_rerio_650, Cricetulus_griseus_65, Heterocephalus_glaber_9	[96, 97, 127]	1
Petromyzon_marinus_6	[97]	1
Dasypus_novemcinctus_20, Cricetulus_griseus_50	[85, 101]	1
Dasypus_novemcinctus_16	[100]	1
Ornithorhynchus_anatinus_2	[130]	1
Tursiops_truncatus_48	[]	1
Bos_taurus_37	[]	1
Tursiops_truncatus_16	[]	1
Balaenoptera_acutorostrata_71	[]	1
Equus_caballus_13	[]	1
Ceratotherium_simum_16	[]	1
Ceratotherium_simum_5	[]	1
Ceratotherium_simum_1	[]	1
Salinispora_arenicola_4	[]	1
Bos_taurus_26	[119]	1
Canis_familiaris_63	[]	1
Nomascus_leucogenys_19	[]	1
Gadus_morhua_32, Gadus_morhua_53	[116, 118, 136]	1
Macaca_mulatta_18	[115]	1
Oryctolagus_cuniculus_12	[]	1
Ovis_aries_11, Danio_rerio_28, Danio_rerio_331	[88, 115, 119]	1
Callithrix_jacchus_18	[112, 118]	1
Canis_familiaris_282	[]	1
Chrysemys_picta_38	[]	1
Oryzias_latipes_11	[]	1
Danio_rerio_684, Danio_rerio_705, Danio_rerio_117	[126]	1
Ailuropoda_melanoleuca_481, Cricetulus_griseus_45	[96, 127]	1
Danio_rerio_456	[]	1
Cricetulus_griseus_23, Danio_rerio_649, Danio_rerio_467, Felis_catus_247, Danio_rerio_92, Gadus_morhua_28	[97, 123, 127, 128, 150]	1
Danio_rerio_711, Cricetulus_griseus_70, Cricetulus_griseus_56	[98, 124, 126]	1
Erinaceus_europaeus_104	[126]	1
Felis_catus_80	[]	1
Felis_catus_703	[102]	1
Danio_rerio_261	[]	1
Felis_catus_403	[]	1
Pan_troglodytes_30	[]	1
Homo_sapiens_33	[]	1
Loxodonta_africana_51	[]	1
Loxodonta_africana_5	[115]	1
Ailuropoda_melanoleuca_468	[]	1
Streptococcus_suis_2	[]	1
Streptococcus_infantarius_3, Streptococcus_lutetiensis_2, Streptococcus_pasteurianus_2, Streptococcus_macedonicus_2, Streptococcus_gallolyticus_2	[]	1
Streptococcus_mutans_1	[]	1
Equus_caballus_14	[]	1
Colwellia_psychrerythraea_1	[]	1
Zea_mays_125	[]	1
Spiroplasma_mirum_1, Spiroplasma_mirum_2	[]	1
Spiroplasma_chrysopicola_1, Spiroplasma_chrysopicola_2, Spiroplasma_syrphidicola_1	[]	1
Cricetulus_griseus_68	[96]	1
Dasypus_novemcinctus_27, Erinaceus_europaeus_117	[97, 150]	1
Zea_mays_112	[152]	1
Erinaceus_europaeus_119	[]	1
Gorilla_gorilla_14	[126, 147, 2033]	1
Zea_mays_63, Zea_mays_91	[152, 155, 160]	1
Zea_mays_35	[148, 151, 153, 154]	1
Zea_mays_83	[152]	1
Zea_mays_61, Zea_mays_70, Zea_mays_48	[152]	1
Zea_mays_152, Zea_mays_93	[151, 157]	1
Zea_mays_109	[]	1
Zea_mays_64, Zea_mays_71, Zea_mays_124	[155]	1
Zea_mays_26	[]	1
Zea_mays_100	[]	1
Zea_mays_154	[151, 2034]	1
Gluconobacter_oxydans_2	[]	1
Planctomyces_brasiliensis_2	[]	1
Porphyromonas_gingivalis_1	[]	1
Bacteroides_helcogenes_3	[]	1
Chlorobium_limicola_2	[]	1
Caenorhabditis_elegans_4	[]	1
Pelosinus_fermentans_2, Pelosinus_sp_3	[]	1
Winogradskyella_sp_1	[]	1
Clostridium_stercorarium_1	[]	1
Clostridium_sticklandii_1, Desulfotomaculum_carboxydivorans_2, Desulfotomaculum_gibsoniae_3, Desulfotomaculum_ruminis_1, Alkaliphilus_oremlandii_1, Desulfotomaculum_reducens_4, Desulfotomaculum_acetoxidans_1, Alkaliphilus_metalliredigens_1, Clostridium_sordellii_1	[176, 202]	1
Thermoanaerobacter_sp_1, Thermoanaerobacter_italicus_1, Thermoanaerobacter_mathranii_1, Thermoanaerobacter_pseudethanolicus_1, Caldanaerobacter_subterraneus_1, Caldanaerobacter_subterraneus_2, Thermoanaerobacterium_thermosaccharolyticum_2, Thermoanaerobacterium_thermosaccharolyticum_1, Thermoanaerobacter_kivui_1, Thermoanaerobacter_brockii_1, Thermoanaerobacterium_saccharolyticum_2, Thermoanaerobacterium_saccharolyticum_1, Thermoanaerobacterium_xylanolyticum_1, Thermoanaerobacterium_xylanolyticum_2, Thermoanaerobacter_wiegelii_1	[]	1
Clostridium_cellulolyticum_2	[]	1
Clostridium_sp_2	[]	1
Mahella_australiensis_1	[]	1
Peptoniphilus_sp_1	[]	1
Eubacterium_acidaminophilum_1	[170]	1
Acetobacterium_woodii_1, Eubacterium_limosum_1	[]	1
Rhodothermus_marinus_2	[]	1
Faecalitalea_cylindroides_1	[]	1
Thermotoga_profunda_2, Pseudothermotoga_lettingae_2, Pseudothermotoga_elfii_2	[]	1
Thermotoga_caldifontis_1, Pseudothermotoga_thermarum_2, Pseudothermotoga_hypogea_2	[]	1
Kosmotoga_olearia_2	[]	1
Marinitoga_piezophila_1	[]	1
Mollicutes_bacterium_1	[]	1
Defluviitoga_tunisiensis_2, Petrotoga_mobilis_2	[]	1
Thermotoga_naphthophila_2, Thermotoga_sp_1, Thermotoga_maritima_2, Thermotoga_neapolitana_1, Thermotoga_petrophila_1	[]	1
Nitratifractor_salsuginis_1	[]	1
Nitratiruptor_sp_1	[]	1
Sulfurovum_sp_1	[]	1
Helicobacter_bizzozeronii_1, Helicobacter_felis_1	[]	1
Helicobacter_mustelae_1, Helicobacter_cetorum_1, Helicobacter_heilmannii_1, Helicobacter_pylori_3, Helicobacter_hepaticus_2, Helicobacter_pylori_1, Helicobacter_pylori_2, Helicobacter_cinaedi_2	[]	1
Streptococcus_thermophilus_3	[246]	1
Candidatus_Methylomirabilis_1	[]	1
Arcobacter_butzleri_1, Arcobacter_nitrofigilis_1	[]	1
Arcobacter_sp_1, Arcobacter_sp_2	[]	1
Desulfurispirillum_indicum_1	[]	1
Nautilia_profundicola_1	[]	1
Formosa_agariphila_1, Cellulophaga_algicola_1, Lacinutrix_sp_1, Polaribacter_sp_1, Cellulophaga_baltica_1, Cellulophaga_lytica_1	[]	1
Siansivirga_zeaxanthinifaciens_1	[]	1
Gemmatimonas_aurantiaca_2	[]	1
Filifactor_alocis_1	[202]	1
Desulfotomaculum_acetoxidans_2, Clostridium_sticklandii_2	[170, 201]	1
Salinibacter_ruber_2	[]	1
Muricauda_lutaonensis_1, Muricauda_ruestringensis_1	[]	1
Blattabacterium_sp_1, Blattabacterium_sp_3	[214]	1
Elizabethkingia_sp_1, Elizabethkingia_anophelis_1	[]	1
Weeksella_virosa_1, Ornithobacterium_rhinotracheale_1	[261]	1
Aequorivita_sublithincola_1	[]	1
Dokdonia_sp_1	[]	1
Dokdonia_sp_2, Zobellia_galactanivorans_1, Maribacter_sp_1	[213]	1
endosymbiont_of_2	[214, 263]	1
Fervidobacterium_nodosum_2, Thermosipho_melanesiensis_2, Thermosipho_africanus_2, Fervidobacterium_pennivorans_1	[]	1
Robiginitalea_biformata_1	[210]	1
Blattabacterium_sp_2	[205, 211, 215]	1
Candidatus_Uzinura_1	[214]	1
Enterococcus_faecalis_5, Enterococcus_faecalis_3	[]	1
Veillonella_parvula_1	[]	1
Mycoplasma_pneumoniae_2	[222]	1
Mycoplasma_ovis_2, Candidatus_Mycoplasma_4, Mycoplasma_wenyonii_2	[224]	1
Selenomonas_ruminantium_1	[]	1
Desulfotomaculum_reducens_1	[]	1
Mycoplasma_genitalium_2	[218]	1
Mycoplasma_gallisepticum_1	[]	1
Mycoplasma_suis_2, Mycoplasma_parvum_2	[219]	1
Draconibacterium_orientale_1	[]	1
Filifactor_alocis_2	[]	1
Ruminococcus_bromii_1	[]	1
Tannerella_forsythia_1	[]	1
Barnesiella_viscericola_1	[]	1
Porphyromonas_gingivalis_2	[]	1
Sphingobacterium_sp_1	[]	1
Porphyromonadaceae_bacterium_2	[]	1
Flavobacterium_columnare_2, Flavobacterium_columnare_1, Flavobacterium_indicum_1	[]	1
Niabella_soli_1, Chitinophaga_pinensis_2	[]	1
Myroides_profundi_1, Myroides_sp_1	[]	1
Flavobacterium_johnsoniae_1	[]	1
Mesoplasma_florum_1	[]	1
