	Adjacency	Frequency
Chamaesiphon_minutus_1	[]	1
Canis_familiaris_1	[]	1
Ailuropoda_melanoleuca_13	[]	1
Ailuropoda_melanoleuca_16	[]	1
Equus_caballus_1	[5]	1
Ceratotherium_simum_5	[4]	1
Sus_scrofa_4	[]	1
Bacillus_subtilis_10	[]	1
Zea_mays_4, Zea_mays_8	[]	1
Salmonella_enterica_10	[]	1
Ailuropoda_melanoleuca_19	[]	1
Erinaceus_europaeus_2	[]	1
Caenorhabditis_brenneri_3	[]	1
Caenorhabditis_remanei_4	[]	1
Anabaena_variabilis_1, Nostoc_sp_4	[]	1
Xenopus_tropicalis_13	[]	1
Tetrapisispora_phaffii_1	[]	1
Tetrapisispora_blattae_1	[]	1
Saccharomyces_cerevisiae_1, Kazachstania_africana_1, Naumovozyma_castellii_1, Saccharomyces_sp_1, Naumovozyma_dairenensis_2, Naumovozyma_dairenensis_1	[21]	1
Sporisorium_reilianum_3, Ustilago_maydis_1	[20]	1
Sporisorium_reilianum_1	[19]	1
Naumovozyma_dairenensis_3	[18]	1
Scheffersomyces_stipitis_2	[]	1
Kluyveromyces_lactis_1	[]	1
Candida_glabrata_2, Zygosaccharomyces_rouxii_2, Torulaspora_delbrueckii_1, Millerozyma_farinosa_4, Millerozyma_farinosa_2	[25]	1
Candida_glabrata_3	[24]	1
Ustilago_maydis_2	[]	1
Candida_orthopsilosis_1	[]	1
Naumovozyma_castellii_2	[]	1
Cyberlindnera_jadinii_1	[]	1
Scheffersomyces_stipitis_1	[]	1
Debaryomyces_hansenii_1	[]	1
Ogataea_parapolymorpha_1, Komagataella_pastoris_1, Eremothecium_cymbalariae_1, Candida_glabrata_1, Kazachstania_naganishii_1, Torulaspora_delbrueckii_2, Lachancea_thermotolerans_1, Lachancea_kluyveri_1, Zygosaccharomyces_rouxii_1, Saccharomycetaceae_sp_1, Millerozyma_farinosa_3, Millerozyma_farinosa_1, Ashbya_gossypii_1	[]	1
Streptobacillus_moniliformis_1	[]	1
Escherichia_coli_2	[]	1
Enterobacter_cloacae_2, Salmonella_enterica_14, Klebsiella_pneumoniae_4	[]	1
Escherichia_coli_7	[]	1
Sporisorium_reilianum_2	[]	1
Chryseobacterium_sp_1	[]	1
Methanotorris_igneus_1, Methanocaldococcus_fervens_1, Methanocaldococcus_sp_1, Methanocaldococcus_jannaschii_1, Methanocaldococcus_infernus_1, Methanocaldococcus_vulcanius_1	[40]	1
Methanothermococcus_okinawensis_1, Methanococcus_aeolicus_1	[39]	1
Ruminococcus_albus_1	[]	1
Stenotrophomonas_maltophilia_1, Xylella_fastidiosa_1, Xanthomonas_citri_1, Pseudoxanthomonas_suwonensis_1, Rhodanobacter_denitrificans_1, Xanthomonas_oryzae_1, Xanthomonas_fuscans_1, Dyella_jiangningensis_1, Xanthomonas_albilineans_1, Xanthomonas_sacchari_1, Xanthomonas_campestris_1, Dyella_japonica_1, Pseudoxanthomonas_spadix_1, Stenotrophomonas_rhizophila_1, Frateuria_aurantia_1, Xanthomonas_axonopodis_1	[]	1
Danio_rerio_221	[]	1
Nanoarchaeum_equitans_1	[]	1
Equus_caballus_8	[]	1
Natrinema_sp_1, Halovivax_ruber_1, Natronobacterium_gregoryi_1, Natronococcus_occultus_1, Natrinema_pellirubrum_1, Halorubrum_lacusprofundi_1	[]	1
Mycoplasma_hominis_1, Mycoplasma_arthritidis_1, Mycoplasma_canadense_1	[]	1
Mycoplasma_fermentans_1, Mycoplasma_agalactiae_1, Mycoplasma_mobile_1, Mycoplasma_bovis_1	[]	1
Mycoplasma_synoviae_1	[50]	1
Mycoplasma_cynos_1, Mycoplasma_meleagridis_1	[49]	1
Ferroplasma_acidarmanus_1	[]	1
Methanolobus_psychrophilus_1	[]	1
Acidianus_hospitalis_1	[]	1
Methanospirillum_hungatei_1	[]	1
Methanosphaerula_palustris_1, Methanoculleus_marisnigri_1, Methanolinea_tarda_1, Methanocorpusculum_labreanum_1, Methanoregula_boonei_1, Methanocella_arvoryzae_1, Methanocella_paludicola_1, Methanoculleus_bourgensis_1, Methanocella_conradii_1	[]	1
Methanosalsum_zhilinae_1, Methanococcoides_burtonii_1, Methanohalophilus_mahii_1, Methanomethylovorans_hollandica_1, Methanosaeta_harundinacea_1	[83]	1
Methanosarcina_sp_2	[]	1
Methanohalobium_evestigatum_1	[]	1
Halobacterium_sp_2, Halobacterium_salinarum_1	[]	1
Salinarchaeum_sp_1	[]	1
Nitrosopumilus_maritimus_1	[]	1
Natronomonas_moolapensis_1, Halorhabdus_utahensis_1, Halorhabdus_tiamatea_1, Natronomonas_pharaonis_1	[78]	1
Hyperthermus_butylicus_1	[]	1
Halobacterium_sp_1, Halalkalicoccus_jeotgali_1	[80]	1
Methanothermus_fervidus_1	[]	1
Caldivirga_maquilingensis_1, Pyrobaculum_arsenaticum_1, Pyrobaculum_oguniense_1, Vulcanisaeta_moutnovskia_2	[]	1
Palaeococcus_pacificus_1	[]	1
Thermococcus_sp_1, Thermococcus_sp_2, Pyrococcus_sp_1, Pyrococcus_furiosus_1, Thermococcus_eurythermalis_1, Pyrococcus_yayanosii_1, Thermococcus_gammatolerans_1, Thermococcus_kodakarensis_1, Pyrococcus_horikoshii_1, Thermococcus_nautili_1	[]	1
Geoglobus_acetivorans_1	[]	1
Thermococcus_litoralis_1, Thermococcus_sibiricus_1	[]	1
Thermococcus_sp_3, Thermococcus_barophilus_1	[]	1
Thermococcus_onnurineus_1	[]	1
Aciduliprofundum_boonei_1	[]	1
Archaeoglobus_sulfaticallidus_1	[]	1
Archaeoglobus_fulgidus_1	[]	1
Archaeoglobus_profundus_1	[]	1
Ferroglobus_placidus_1, Archaeoglobus_veneficus_1	[]	1
Halomicrobium_mukohataei_1	[62]	1
Haloferax_volcanii_1	[]	1
Haloarcula_sp_1, Haloarcula_hispanica_1, Haloarcula_marismortui_1	[64]	1
Sulfolobus_tokodaii_1	[]	1
Metallosphaera_cuprina_1	[]	1
Methanococcoides_methylutens_1	[56]	1
Picrophilus_torridus_1	[]	1
Thermoplasma_acidophilum_1, Thermoplasma_volcanium_1	[]	1
Methanosarcina_thermophila_1	[87]	1
Methanosarcina_vacuolata_1, Methanosarcina_mazei_1, Methanosarcina_acetivorans_1, Methanosarcina_sp_1, Methanosarcina_barkeri_1, Methanosarcina_siciliae_1, Methanosarcina_thermophila_2, Methanosarcina_lacustris_1, Methanosarcina_horonobensis_1	[86]	1
Acidilobus_saccharovorans_1	[]	1
Ignicoccus_hospitalis_1	[]	1
Aeropyrum_pernix_1	[]	1
Ignisphaera_aggregans_1	[]	1
Pristionchus_pacificus_7	[]	1
Haloquadratum_walsbyi_1, Halogeometricum_borinquense_1	[]	1
Candidatus_Methanoplasma_1	[]	1
Acholeplasma_brassicae_1, Acholeplasma_brassicae_2	[]	1
Mollicutes_bacterium_1	[]	1
Acholeplasma_palmae_1	[]	1
Onion_yellows_1, Aster_yellows_1, Candidatus_Phytoplasma_1	[]	1
Acholeplasma_laidlawii_1	[]	1
Candidatus_Phytoplasma_2	[]	1
Haliscomenobacter_hydrossis_1	[]	1
Methanolacinia_petrolearia_1	[]	1
Methanoregula_formicica_1	[]	1
