	Adjacency	Frequency
Flexibacter_litoralis_3	[]	1
Pristionchus_pacificus_25	[]	1
Xenopus_tropicalis_54	[3]	1
Gadus_morhua_36	[2]	1
Danio_rerio_2, Danio_rerio_1, Danio_rerio_12, Danio_rerio_92	[5, 76]	1
Xenopus_tropicalis_69	[4]	1
Microcebus_murinus_6, Macropus_eugenii_20, Pongo_pygmaeus_7, Ceratotherium_simum_8, Otolemur_garnettii_8, Ochotona_princeps_5, Equus_caballus_6, Tursiops_truncatus_14, Pan_troglodytes_5, Sarcophilus_harrisii_19, Anolis_carolinensis_1, Takifugu_rubripes_4, Canis_familiaris_6, Chrysemys_picta_2, Chrysemys_picta_6, Chrysemys_picta_9, Ovis_aries_6, Rattus_norvegicus_1, Dasypus_novemcinctus_9, Gorilla_gorilla_9, Mustela_putorius_6, Nomascus_leucogenys_26, Spermophilus_tridecemlineatus_9, Mus_musculus_15, Cricetulus_griseus_19, Macaca_mulatta_6, Monodelphis_domestica_17, Homo_sapiens_9, Ailuropoda_melanoleuca_22, Felis_catus_47, Papio_hamadryas_7, Bos_taurus_10, Papio_anubis_9, Balaenoptera_acutorostrata_29, Oryctolagus_cuniculus_1	[7, 8, 9, 11, 23]	1
Tarsius_syrichta_24	[6]	1
Chrysemys_picta_12	[6]	1
Ornithorhynchus_anatinus_33	[6, 10]	1
Chrysemys_picta_13	[9]	1
Sus_scrofa_9	[6]	1
Gadus_morhua_64	[13, 14]	1
Danio_rerio_60, Ornithorhynchus_anatinus_40	[12]	1
Xenopus_tropicalis_52	[12]	1
Latimeria_chalumnae_10, Ornithorhynchus_anatinus_9, Ornithorhynchus_anatinus_7, Callorhinchus_milii_41, Gadus_morhua_44, Pongo_pygmaeus_6, Macaca_mulatta_24, Monodelphis_domestica_7, Ceratotherium_simum_9, Sus_scrofa_6, Otolemur_garnettii_4, Tarsius_syrichta_4, Oryzias_latipes_49, Papio_hamadryas_19, Anolis_carolinensis_2, Chrysemys_picta_5, Danio_rerio_3, Cavia_porcellus_16, Myotis_lucifugus_1, Rattus_norvegicus_3, Danio_rerio_62, Danio_rerio_61, Danio_rerio_64, Danio_rerio_65, Tursiops_truncatus_7, Gadus_morhua_5, Gallus_gallus_9, Gorilla_gorilla_26, Ornithorhynchus_anatinus_25, Dasypus_novemcinctus_8, Xenopus_tropicalis_25, Xenopus_tropicalis_23, Gadus_morhua_92, Gadus_morhua_90, Gadus_morhua_91, Sorex_araneus_9, Felis_catus_33, Latimeria_chalumnae_9, Mus_musculus_3, Danio_rerio_83, Danio_rerio_87, Danio_rerio_88, Danio_rerio_89, Danio_rerio_106, Danio_rerio_107, Danio_rerio_108, Heterocephalus_glaber_4, Xenopus_tropicalis_68, Oreochromis_niloticus_28, Oreochromis_niloticus_26, Oreochromis_niloticus_27, Trichechus_manatus_1, Chrysemys_picta_14, Oryzias_latipes_42, Ailuropoda_melanoleuca_3, Latimeria_chalumnae_28, Macropus_eugenii_15, Petromyzon_marinus_5, Pongo_pygmaeus_32, Gadus_morhua_11, Papio_anubis_25, Nomascus_leucogenys_24, Gadus_morhua_74, Homo_sapiens_33, Danio_rerio_8, Danio_rerio_7, Danio_rerio_6, Xenopus_tropicalis_9, Ochotona_princeps_9, Ovis_aries_20, Bos_taurus_37, Saimiri_boliviensis_4, Balaenoptera_acutorostrata_7, Equus_caballus_18, Danio_rerio_14, Xenopus_tropicalis_47, Xenopus_tropicalis_46, Cricetulus_griseus_5, Takifugu_rubripes_10, Gadus_morhua_87, Danio_rerio_59, Danio_rerio_58, Danio_rerio_57, Danio_rerio_56, Petromyzon_marinus_54, Takifugu_rubripes_31, Takifugu_rubripes_32, Xenopus_tropicalis_39, Oryzias_latipes_34, Oryzias_latipes_38, Ornithorhynchus_anatinus_17, Oreochromis_niloticus_13, Oreochromis_niloticus_11, Oreochromis_niloticus_10, Oreochromis_niloticus_14, Gasterosteus_aculeatus_47, Danio_rerio_91, Xenopus_tropicalis_38, Canis_familiaris_1, Callithrix_jacchus_29, Xenopus_tropicalis_70, Oreochromis_niloticus_31, Melopsittacus_undulatus_11, Oryzias_latipes_78, Oryzias_latipes_79, Pan_troglodytes_30, Xenopus_tropicalis_53, Oryctolagus_cuniculus_4	[16, 18, 19, 20, 22, 23, 25, 98, 347]	1
Oryzias_latipes_80, Danio_rerio_9, Oryzias_latipes_7, Oryzias_latipes_8	[15, 21]	1
Loxodonta_africana_2	[]	1
Gadus_morhua_103	[15]	1
Xenopus_tropicalis_82, Xenopus_tropicalis_24	[15]	1
Danio_rerio_84	[15, 21]	1
Oryzias_latipes_54	[16, 20]	1
Oryzias_latipes_3, Xenopus_tropicalis_91	[15]	1
Melopsittacus_undulatus_5, Gallus_gallus_2, Geospiza_fortis_4, Meleagris_gallopavo_2, Taeniopygia_guttata_3, Xenopus_tropicalis_35, Xenopus_tropicalis_12	[6, 15]	1
Macropus_eugenii_17, Sarcophilus_harrisii_5	[25]	1
Oryzias_latipes_33	[15, 24]	1
Blattabacterium_sp_20	[27, 406]	1
Blattabacterium_sp_13	[26, 408]	1
Candidatus_Profftella_2	[]	1
Blattabacterium_sp_19	[]	1
Blattabacterium_sp_7, Blattabacterium_sp_30	[]	1
Blattabacterium_sp_11, Blattabacterium_sp_27, Blattabacterium_sp_23	[535]	1
Oscillatoria_nigro-viridis_4	[]	1
Actinosynnema_mirum_2	[]	1
Gemmatimonas_aurantiaca_5	[]	1
Blattabacterium_sp_24	[102, 910]	1
Blattabacterium_sp_12, Blattabacterium_sp_8	[69]	1
Niastella_koreensis_2	[]	1
Pedobacter_heparinus_4	[]	1
Candidatus_Moranella_4	[]	1
Gramella_forsetii_1	[]	1
Aequorivita_sublithincola_1	[]	1
Elizabethkingia_sp_3, Elizabethkingia_anophelis_4	[1095]	1
Candidatus_Carsonella_18	[44]	1
Candidatus_Carsonella_15	[43]	1
Candidatus_Carsonella_9	[]	1
Tarsius_syrichta_26, Callithrix_jacchus_24	[60]	1
Pantoea_rwandensis_4, Candidatus_Ishikawaella_5, Pantoea_ananatis_3, Pantoea_sp_8	[49, 1350]	1
Klebsiella_variicola_3, Enterobacter_aerogenes_3, Enterobacter_sp_3, Serratia_liquefaciens_1, Klebsiella_oxytoca_2, Klebsiella_pneumoniae_4, Serratia_proteamaculans_1, Pluralibacter_gergoviae_4, Serratia_multitudinisentens_7, Enterobacter_cloacae_3, Serratia_sp_1, Serratia_plymuthica_1, Enterobacter_asburiae_6, Raoultella_ornithinolytica_8, Serratia_marcescens_1, Citrobacter_freundii_6	[]	1
Blochmannia_endosymbiont_8, Candidatus_Blochmannia_5	[47]	1
Prevotella_sp_2	[]	1
Gadus_morhua_94	[]	1
Propionibacterium_propionicum_5	[]	1
Latimeria_chalumnae_2	[]	1
Latimeria_chalumnae_3	[]	1
Serratia_symbiotica_4	[]	1
Ochotona_princeps_13, Macaca_mulatta_21, Ceratotherium_simum_18, Tursiops_truncatus_19, Erinaceus_europaeus_11, Papio_hamadryas_14, Cavia_porcellus_9, Spermophilus_tridecemlineatus_16, Ailuropoda_melanoleuca_12, Mustela_putorius_16, Bos_taurus_25, Myotis_lucifugus_11, Balaenoptera_acutorostrata_18, Felis_catus_31, Tarsius_syrichta_27, Canis_familiaris_12, Dasypus_novemcinctus_20, Papio_anubis_21, Oryctolagus_cuniculus_20, Nomascus_leucogenys_9, Saimiri_boliviensis_21, Equus_caballus_14, Loxodonta_africana_36, Felis_catus_24, Sorex_araneus_23, Pongo_pygmaeus_28	[57, 59, 60, 84, 103]	1
Trichechus_manatus_30	[56]	1
Candidatus_Profftella_3	[]	1
Homo_sapiens_29, Gorilla_gorilla_23, Mustela_putorius_7	[56]	1
Papio_anubis_15, Nomascus_leucogenys_14, Ceratotherium_simum_12, Ovis_aries_14, Papio_hamadryas_12, Cavia_porcellus_5, Otolemur_garnettii_10, Homo_sapiens_26, Gorilla_gorilla_8, Loxodonta_africana_22, Heterocephalus_glaber_9, Dasypus_novemcinctus_19, Balaenoptera_acutorostrata_15, Macaca_mulatta_17, Trichechus_manatus_24, Saimiri_boliviensis_24, Equus_caballus_10, Microcebus_murinus_10, Bos_taurus_19, Pan_troglodytes_23, Sus_scrofa_14	[46, 56]	1
Borrelia_miyamotoi_3	[1733]	1
Xylella_fastidiosa_6	[1764]	1
Staphylococcus_aureus_10	[1770]	1
Nonlabens_dokdonensis_1	[]	1
Felis_catus_48	[]	1
Felis_catus_59	[]	1
Candidatus_Sulcia_12	[]	1
Candidatus_Uzinura_1	[]	1
Blattabacterium_sp_16	[36]	1
Candidatus_Zinderia_1	[]	1
Buchnera_aphidicola_1	[2382]	1
Sorex_araneus_19	[]	1
Trichechus_manatus_11	[]	1
Candidatus_Baumannia_4, secondary_endosymbiont_9	[2725]	1
Eubacterium_siraeum_6	[]	1
Xenopus_tropicalis_49	[4]	1
Candidatus_Sulcia_8, Candidatus_Sulcia_17, Candidatus_Sulcia_10	[]	1
Acaryochloris_marina_3	[]	1
Oscillatoria_nigro-viridis_2	[]	1
Nostoc_sp_11	[]	1
Acaryochloris_marina_1	[]	1
Cricetulus_griseus_3	[83, 84]	1
Mus_musculus_10	[82]	1
Heterocephalus_glaber_11	[56, 82, 85]	1
Sorex_araneus_11	[84]	1
Caenorhabditis_briggsae_4	[]	1
Methanobrevibacter_ruminantium_4	[]	1
Caenorhabditis_brenneri_1, Caenorhabditis_japonica_15, Caenorhabditis_remanei_26, Pristionchus_pacificus_21, Caenorhabditis_japonica_7, Caenorhabditis_japonica_8, Caenorhabditis_japonica_24, Caenorhabditis_elegans_7, Caenorhabditis_briggsae_22, Caenorhabditis_remanei_9, Caenorhabditis_briggsae_6	[]	1
Petromyzon_marinus_2, Gadus_morhua_51	[90, 91]	1
Gadus_morhua_15, Gadus_morhua_72	[89]	1
Danio_rerio_219	[89]	1
Methanobrevibacter_ruminantium_7	[]	1
Latimeria_chalumnae_27	[]	1
Strongylocentrotus_purpuratus_26, Strongylocentrotus_purpuratus_25	[95]	1
Strongylocentrotus_purpuratus_33	[94]	1
Callorhinchus_milii_92	[]	1
Callorhinchus_milii_12	[]	1
Oreochromis_niloticus_29, Danio_rerio_13, Danio_rerio_11, Nomascus_leucogenys_4	[15, 99]	1
Danio_rerio_10	[98]	1
Latimeria_chalumnae_29	[]	1
Fusarium_graminearum_13	[]	1
Blattabacterium_sp_1	[35]	1
Bos_taurus_22	[56]	1
Cyberlindnera_jadinii_6	[]	1
Loxodonta_africana_52	[]	1
Bos_taurus_30	[]	1
Borrelia_burgdorferi_1	[]	1
Xenopus_tropicalis_48	[109]	1
Xenopus_tropicalis_81, Xenopus_tropicalis_80	[108]	1
Mesoplasma_florum_1	[]	1
Mycoplasma_mycoides_1, Mycoplasma_leachii_3, Mycoplasma_capricolum_3	[]	1
Mycoplasma_agalactiae_4, Mycoplasma_bovis_3	[]	1
Spiroplasma_sabaudiense_2, Spiroplasma_culicicola_2	[]	1
Mycoplasma_putrefaciens_2, Mycoplasma_yeatsii_1	[]	1
Planctomyces_brasiliensis_2	[]	1
Caenorhabditis_remanei_5	[]	1
Variovorax_paradoxus_9	[]	1
Corynebacterium_jeikeium_4	[]	1
Methylibium_petroleiphilum_7	[]	1
Spiroplasma_taiwanense_2, Spiroplasma_apis_2, Spiroplasma_diminutum_2	[]	1
Acholeplasma_laidlawii_2	[]	1
Acinetobacter_baumannii_4, Acinetobacter_oleivorans_1, Acinetobacter_calcoaceticus_3	[]	1
Acinetobacter_sp_2	[]	1
Alicyclobacillus_acidocaldarius_5	[]	1
Lactococcus_lactis_5	[]	1
Gloeobacter_kilaueensis_1	[]	1
Gloeobacter_violaceus_3	[]	1
Spiroplasma_sabaudiense_3, Spiroplasma_apis_3, Spiroplasma_diminutum_3	[]	1
Niabella_soli_1	[]	1
Spiroplasma_taiwanense_3	[]	1
Rhodospirillum_photometricum_3	[]	1
Corynebacterium_terpenotabidum_5	[]	1
Granulibacter_bethesdensis_4	[]	1
Bacillus_anthracis_6	[]	1
Spiroplasma_chrysopicola_3, Spiroplasma_syrphidicola_3	[]	1
