	Adjacency	Frequency
Candidatus_Nasuia_1	[]	1
Methanolacinia_petrolearia_2	[]	1
Felis_catus_50	[]	1
Felis_catus_654	[]	1
Felis_catus_308, Felis_catus_811	[5, 6, 12]	1
Felis_catus_256	[4, 10, 14, 389]	1
Felis_catus_302	[4]	1
Felis_catus_166	[]	1
Felis_catus_52	[]	1
Felis_catus_562	[]	1
Felis_catus_41	[5]	1
Felis_catus_178	[]	1
Felis_catus_321	[4, 13, 14]	1
Felis_catus_6	[12, 15]	1
Felis_catus_40	[5, 12, 15, 460]	1
Felis_catus_634	[13, 14]	1
Felis_catus_782	[]	1
Felis_catus_698, Felis_catus_596	[18]	1
Felis_catus_688	[17, 462]	1
Felis_catus_81	[]	1
Felis_catus_169	[]	1
Felis_catus_768	[]	1
Felis_catus_171	[]	1
Felis_catus_461	[]	1
Methanospirillum_hungatei_1	[]	1
Methanocorpusculum_labreanum_1	[]	1
Ailuropoda_melanoleuca_31	[]	1
Felis_catus_307	[]	1
Elizabethkingia_anophelis_1, Elizabethkingia_sp_1	[]	1
Riemerella_anatipestifer_1	[]	1
Blattabacterium_sp_1	[34]	1
Blattabacterium_sp_2	[]	1
Variovorax_paradoxus_3	[]	1
Candidatus_Sulcia_2	[34]	1
Candidatus_Sulcia_1	[30, 33]	1
Methanococcus_maripaludis_1	[37]	1
Methanococcus_vannielii_1	[]	1
Methanococcus_maripaludis_2	[35]	1
Pseudoxanthomonas_suwonensis_1, Pseudoxanthomonas_spadix_1	[]	1
Pseudoxanthomonas_suwonensis_3, Rhodanobacter_denitrificans_1	[]	1
Archaeoglobus_fulgidus_1	[]	1
Ferroglobus_placidus_1	[]	1
Archaeoglobus_profundus_1, Ferroglobus_placidus_2, Geoglobus_acetivorans_1	[]	1
Archaeoglobus_profundus_2	[]	1
Archaeoglobus_veneficus_1	[]	1
Archaeoglobus_sulfaticallidus_2	[]	1
Geoglobus_acetivorans_2	[]	1
Thermococcus_sp_2	[]	1
Archaeoglobus_fulgidus_2, Archaeoglobus_sulfaticallidus_3	[]	1
Thermoplasmatales_archaeon_1	[]	1
Methanocella_conradii_2	[]	1
Methanocella_paludicola_2	[52]	1
Methanocella_arvoryzae_2	[51]	1
Archaeoglobus_sulfaticallidus_1	[]	1
Candidatus_Methanomassiliicoccus_2	[]	1
Candidatus_Korarchaeum_2, Candidatus_Korarchaeum_1	[]	1
Thermococcus_sp_3, Pyrococcus_sp_2, Pyrococcus_furiosus_1, Thermococcus_eurythermalis_1, Pyrococcus_yayanosii_2, Thermococcus_onnurineus_1, Thermococcus_gammatolerans_1, Thermococcus_kodakarensis_1, Pyrococcus_horikoshii_1, Thermococcus_nautili_2	[]	1
Thermococcus_sp_5, Thermococcus_sp_4, Pyrococcus_sp_1, Pyrococcus_furiosus_2, Thermococcus_eurythermalis_2, Pyrococcus_yayanosii_1, Thermococcus_barophilus_1, Thermococcus_litoralis_1, Thermococcus_onnurineus_2, Thermococcus_gammatolerans_2, Palaeococcus_pacificus_1, Thermococcus_barophilus_2, Thermococcus_kodakarensis_2, Pyrococcus_horikoshii_2, Thermococcus_nautili_1, Thermococcus_sibiricus_2, Thermococcus_sibiricus_1	[]	1
Nanoarchaeum_equitans_2, Nanoarchaeum_equitans_1	[]	1
Aciduliprofundum_sp_2	[]	1
Thermococcus_sp_1, Palaeococcus_pacificus_2	[]	1
Solitalea_canadensis_1	[]	1
Methanospirillum_hungatei_2	[]	1
Nitrosopumilus_maritimus_2	[]	1
Methanosaeta_harundinacea_1	[]	1
Pyrobaculum_arsenaticum_2, Pyrobaculum_arsenaticum_1, Thermoproteus_tenax_2, Pyrobaculum_oguniense_1, Pyrobaculum_oguniense_2, Thermoproteus_uzoniensis_1, Thermoproteus_uzoniensis_2, Pyrobaculum_aerophilum_1, Pyrobaculum_aerophilum_2	[]	1
Methanosaeta_concilii_1, Methanosaeta_thermophila_1	[]	1
Methanoculleus_bourgensis_1	[]	1
Methanoregula_boonei_2, Methanolinea_tarda_1	[76]	1
Methanosalsum_zhilinae_2	[]	1
Methanotorris_igneus_1, Methanocaldococcus_sp_1, Methanocaldococcus_fervens_1, Methanocaldococcus_infernus_1, Methanocaldococcus_vulcanius_1, Methanocaldococcus_jannaschii_1	[]	1
Methanococcus_voltae_1	[]	1
Methanothermococcus_okinawensis_1	[]	1
Methanosphaerula_palustris_2	[74]	1
Methanoregula_formicica_1	[73]	1
Geoglobus_acetivorans_3	[]	1
Methanoculleus_marisnigri_1	[68]	1
Thermofilum_pendens_1, Thermofilum_pendens_2	[]	1
Planctomyces_brasiliensis_1	[]	1
Methanococcus_aeolicus_1	[]	1
Methanocorpusculum_labreanum_2	[]	1
Akkermansia_muciniphila_2	[]	1
Thermoplasma_acidophilum_2, Thermoplasma_volcanium_1	[]	1
Thermoplasma_acidophilum_1, Thermoplasma_volcanium_2	[]	1
Syntrophomonas_wolfei_2	[]	1
Sulfolobus_islandicus_2, Sulfolobus_islandicus_1, Metallosphaera_sedula_2, Sulfolobus_acidocaldarius_1, Sulfolobus_acidocaldarius_2, Sulfolobus_solfataricus_1, Sulfolobus_solfataricus_2	[]	1
Metallosphaera_sedula_1	[]	1
Metallosphaera_cuprina_1, Metallosphaera_cuprina_2	[]	1
Aeropyrum_pernix_2	[]	1
Hyperthermus_butylicus_2, Ignisphaera_aggregans_1, Aeropyrum_pernix_1, Ignisphaera_aggregans_2, Ignicoccus_hospitalis_2, Ignicoccus_hospitalis_1, Desulfurococcus_kamchatkensis_1	[]	1
Sulfolobus_tokodaii_1, Sulfolobus_tokodaii_2	[]	1
Acidianus_hospitalis_2, Acidianus_hospitalis_1	[]	1
Vulcanisaeta_moutnovskia_2, Vulcanisaeta_distributa_2, Vulcanisaeta_moutnovskia_1	[]	1
Caldivirga_maquilingensis_2, Caldivirga_maquilingensis_1	[]	1
Candidatus_Methanoplasma_1	[]	1
Danio_rerio_97	[]	1
Methanomethylovorans_hollandica_3	[]	1
Picrophilus_torridus_1	[]	1
Picrophilus_torridus_2	[]	1
Fibrella_aestuarina_1	[]	1
Acholeplasma_laidlawii_1, Acholeplasma_brassicae_1	[]	1
Candidatus_Phytoplasma_3, Acholeplasma_palmae_1	[106]	1
Phycisphaera_mikurensis_2	[]	1
Phycisphaera_mikurensis_1	[]	1
Candidatus_Phytoplasma_1	[105, 106]	1
Candidatus_Phytoplasma_2	[104]	1
Onion_yellows_1, Candidatus_Phytoplasma_4, Aster_yellows_1	[101, 104]	1
Coraliomargarita_akajimensis_1	[]	1
Planctomyces_brasiliensis_2	[]	1
Sphaerochaeta_coccoides_1	[]	1
Candidatus_Arthromitus_1	[]	1
Clostridium_beijerinckii_1, Clostridium_saccharoperbutylacetonicum_1	[]	1
Clostridium_cellulovorans_1, Clostridium_baratii_1	[]	1
Clostridium_clariflavum_2	[114]	1
Clostridium_clariflavum_1	[113]	1
Colwellia_psychrerythraea_1	[]	1
Deinococcus_proteolyticus_2, Deinococcus_proteolyticus_1	[]	1
Deinococcus_gobiensis_2	[]	1
Deinococcus_swuensis_2	[]	1
Desulfitobacterium_dichloroeliminans_1, Desulfitobacterium_dehalogenans_1, Desulfitobacterium_hafniense_1, Ruminiclostridium_thermocellum_2	[]	1
Desulfovibrio_salexigens_1	[]	1
Desulfovibrio_hydrothermalis_1	[]	1
Methanopyrus_kandleri_1	[]	1
Ruminococcus_sp_1, Roseburia_intestinalis_2, Eubacterium_rectale_3, Ruminococcus_obeum_1, Roseburia_hominis_2	[]	1
Photobacterium_gaetbulicola_2	[]	1
Eubacterium_rectale_2	[]	1
Vibrio_sp_1, Vibrio_alginolyticus_1, Vibrio_nigripulchritudo_2, Vibrio_campbellii_2, Vibrio_anguillarum_2, Vibrio_anguillarum_1, Vibrio_parahaemolyticus_1	[]	1
Herbaspirillum_seropedicae_1	[128]	1
Candidatus_Zinderia_1	[127]	1
Collimonas_fungivorans_1, Candidatus_Profftella_1, Herminiimonas_arsenicoxydans_1, Candidatus_Symbiobacter_1, Janthinobacterium_agaricidamnosum_1, Collimonas_arenae_1, Janthinobacterium_sp_1, Polynucleobacter_necessarius_1, beta_proteobacterium_1	[139]	1
Candidatus_Tremblaya_1	[]	1
Burkholderia_phenoliruptrix_1, Burkholderia_xenovorans_1, Burkholderia_sp_3	[]	1
Comamonadaceae_bacterium_1, Burkholderia_fungorum_1, Burkholderia_phytofirmans_1	[133, 138]	1
Burkholderia_sp_1, Burkholderia_pseudomallei_1, Pandoraea_pnomenusa_1, Burkholderia_vietnamiensis_1, Acidovorax_ebreus_1, Delftia_acidovorans_1, Ralstonia_mannitolilytica_1, Alicycliphilus_denitrificans_1, Burkholderia_thailandensis_1, Pandoraea_oxalativorans_1, Burkholderia_ubonensis_1, Burkholderia_multivorans_1, Burkholderia_oklahomensis_1, Burkholderia_mallei_1, Ralstonia_solanacearum_2, Ralstonia_solanacearum_1, Burkholderia_cepacia_2, Burkholderia_cepacia_1, Burkholderia_glumae_1, Pandoraea_sp_1, Burkholderia_rhizoxinica_1, Pandoraea_vervacti_1, Burkholderia_cenocepacia_1, Pandoraea_sputorum_1, Burkholderia_dolosa_1, Acidovorax_sp_1, Burkholderia_phymatum_1, Pandoraea_pulmonicola_1, Burkholderia_ambifaria_1, Comamonadaceae_bacterium_2, Pandoraea_apista_1, Burkholderia_gladioli_1, Ramlibacter_tataouinensis_1, Burkholderia_lata_1, Burkholderia_sp_2, Delftia_sp_1	[132]	1
Nitrosomonas_sp_1	[]	1
Variovorax_paradoxus_1	[]	1
Comamonas_testosteroni_2	[139]	1
Rubrivivax_gelatinosus_1, Leptothrix_cholodnii_1	[]	1
Cupriavidus_basilensis_1, Verminephrobacter_eiseniae_1, Acidovorax_citrulli_1, Acidovorax_avenae_1, Cupriavidus_necator_1, Ralstonia_pickettii_2, Comamonas_testosteroni_3, Acidovorax_sp_2, Cupriavidus_taiwanensis_1, Burkholderia_sp_4, Cupriavidus_metallidurans_1	[132]	1
Rhodoferax_ferrireducens_1, Comamonas_testosteroni_1	[129, 136]	1
Methylibium_petroleiphilum_1	[]	1
Paenibacillus_graminis_2, Paenibacillus_sp_2, Paenibacillus_borealis_2, Paenibacillus_sp_6	[]	1
Clostridium_sordellii_1	[]	1
Paenibacillus_polymyxa_3	[]	1
Pelosinus_sp_4, Pelosinus_fermentans_2	[]	1
Pelosinus_sp_1	[]	1
Stenotrophomonas_maltophilia_5, Stenotrophomonas_rhizophila_1	[]	1
Xanthomonas_oryzae_2, Stenotrophomonas_maltophilia_2, Xanthomonas_fuscans_1, Xanthomonas_citri_1, Xanthomonas_axonopodis_1, Xanthomonas_albilineans_1, Xanthomonas_sacchari_1, Xanthomonas_campestris_1	[]	1
Pseudomonas_mendocina_1, Pseudomonas_fulva_1, Pseudomonas_sp_1, Pseudomonas_pseudoalcaligenes_1, Pseudomonas_stutzeri_1	[]	1
Pseudoxanthomonas_suwonensis_4, Pseudoxanthomonas_suwonensis_2	[]	1
Xylella_fastidiosa_1	[]	1
Acinetobacter_calcoaceticus_1, Acinetobacter_oleivorans_1, Acinetobacter_sp_1	[]	1
Pseudomonas_syringae_1, Pseudomonas_mendocina_2, Pseudomonas_entomophila_1, Pseudomonas_fluorescens_1, Pseudomonas_simiae_1, Pseudomonas_aeruginosa_1, Pseudomonas_chlororaphis_1, Pseudomonas_rhizosphaerae_1, Pseudomonas_protegens_1, Pseudomonas_sp_2, Pseudomonas_cremoricolorata_1, Pseudomonas_resinovorans_1, Azotobacter_vinelandii_1, Pseudomonas_alkylphenolia_1, Pseudomonas_plecoglossicida_1, Pseudomonas_balearica_1, Pseudomonas_brassicacearum_1, Pseudomonas_mandelii_1, Pseudomonas_cichorii_1, Pseudomonas_putida_1, Azotobacter_chroococcum_1, Pseudomonas_savastanoi_1, Pseudomonas_mosselii_1, Pseudomonas_parafulva_1, Pseudomonas_monteilii_1, Pseudomonas_poae_1, Pseudomonas_knackmussii_1, Pseudomonas_denitrificans_1	[]	1
Acinetobacter_baumannii_1	[154]	1
Acinetobacter_sp_2, Acinetobacter_baumannii_2	[153]	1
Desulfatibacillum_alkenivorans_3	[]	1
Eubacterium_limosum_1, Acetobacterium_woodii_1	[]	1
Pelosinus_fermentans_1, Pelosinus_sp_3	[]	1
Kangiella_koreensis_1	[]	1
Denitrovibrio_acetiphilus_1	[]	1
Psychrobacter_cryohalolentis_1, Psychrobacter_arcticus_1, Psychrobacter_sp_1	[164]	1
Megamonas_hypermegale_1	[]	1
Propionibacterium_propionicum_2	[]	1
Acetobacterium_woodii_2	[]	1
Moraxella_catarrhalis_1	[160]	1
Selenomonas_ruminantium_3	[]	1
Veillonella_parvula_1	[]	1
Gynuella_sunshinyii_1	[]	1
Legionella_pneumophila_1, Legionella_longbeachae_1, Legionella_fallonii_1	[]	1
Geobacter_lovleyi_1	[]	1
Eubacterium_limosum_2	[]	1
Desulfovibrio_gigas_1, Desulfovibrio_alaskensis_1	[]	1
Desulfatibacillum_alkenivorans_1	[]	1
Megasphaera_elsdenii_1, Megasphaera_elsdenii_3	[]	1
Vibrio_cholerae_2	[]	1
Photobacterium_gaetbulicola_1	[]	1
Vibrio_sp_2, Vibrio_vulnificus_1, Vibrio_tubiashii_1, Vibrio_coralliilyticus_1, Vibrio_furnissii_1, Vibrio_campbellii_1, Vibrio_parahaemolyticus_2	[]	1
Vibrio_cholerae_3	[]	1
Vibrio_cholerae_1	[]	1
Natrinema_sp_2, Halopiger_xanaduensis_2, Natronobacterium_gregoryi_1, Haloarcula_marismortui_1, Natronococcus_occultus_1, Halomicrobium_mukohataei_2, Haloterrigena_turkmenica_2	[]	1
Halovivax_ruber_2	[]	1
Natrialba_magadii_1	[]	1
Natronomonas_moolapensis_1	[]	1
Halorubrum_lacusprofundi_1	[]	1
Halalkalicoccus_jeotgali_1	[]	1
Methanocella_arvoryzae_1	[]	1
Haloferax_volcanii_1, Halogeometricum_borinquense_1	[]	1
Methanococcoides_burtonii_1	[]	1
Methanothermobacter_sp_3, Methanothermobacter_thermautotrophicus_2, Methanothermobacter_marburgensis_2	[]	1
Methanohalobium_evestigatum_1	[190]	1
Methanosaeta_harundinacea_2	[189]	1
Methanococcoides_methylutens_1	[]	1
Methanothermus_fervidus_1	[]	1
Archaeoglobus_veneficus_2	[]	1
Methanothermus_fervidus_2	[]	1
Methanocella_conradii_1	[]	1
Methanobacterium_paludis_2	[]	1
Methanothermobacter_sp_1, Methanothermobacter_thermautotrophicus_1, Methanothermobacter_marburgensis_3	[]	1
Methanosphaera_stadtmanae_2, Methanobacterium_sp_2	[199]	1
Methanobacterium_formicicum_2	[198]	1
Methanohalophilus_mahii_2	[]	1
Methanocella_paludicola_1	[]	1
Haloquadratum_walsbyi_2	[]	1
Haloarcula_marismortui_2, Haloarcula_sp_2, Haloarcula_hispanica_2	[]	1
Halogeometricum_borinquense_2, Halalkalicoccus_jeotgali_2, Halorubrum_lacusprofundi_2	[]	1
Thermoplasmatales_archaeon_2	[]	1
