	Adjacency	Frequency
Candidatus_Tremblaya_1	[]	1
Candidatus_Riesia_1	[]	1
Haemophilus_influenzae_2	[3]	1
Haemophilus_influenzae_3	[2]	1
Ureaplasma_diversum_1	[]	1
Ureaplasma_urealyticum_1, Ureaplasma_parvum_1	[]	1
Mannheimia_haemolytica_4	[7, 8]	1
Mannheimia_haemolytica_3	[6]	1
Mannheimia_haemolytica_1	[6]	1
Candidatus_Hepatoplasma_1	[]	1
Leadbetterella_byssophila_1	[]	1
Callorhinchus_milii_12	[]	1
Tarsius_syrichta_3	[]	1
Sarcophilus_harrisii_4	[]	1
Danio_rerio_14	[]	1
Singulisphaera_acidiphila_1, Isosphaera_pallida_1	[]	1
Flavobacterium_indicum_1	[]	1
Xanthomonas_oryzae_1, Xanthomonas_sacchari_1, Stenotrophomonas_maltophilia_1, Xanthomonas_citri_1, Pseudoxanthomonas_suwonensis_1, Rhodanobacter_denitrificans_1, Xanthomonas_fuscans_1, Dyella_jiangningensis_1, Xanthomonas_albilineans_1, Xanthomonas_axonopodis_1, Pseudoxanthomonas_spadix_1, Xanthomonas_campestris_1, Dyella_japonica_1, Frateuria_aurantia_1, Stenotrophomonas_rhizophila_1	[]	1
Slackia_heliotrinireducens_1	[]	1
Verrucomicrobium_spinosum_1	[]	1
Coriobacterium_glomerans_1	[]	1
Kosmotoga_olearia_1	[]	1
Defluviitoga_tunisiensis_1, Petrotoga_mobilis_1	[23]	1
Marinitoga_piezophila_1	[22]	1
Brachypodium_distachyon_5	[]	1
Arabidopsis_thaliana_5	[564]	1
Brachypodium_distachyon_1	[568]	1
Winogradskyella_sp_1	[]	1
Tannerella_forsythia_1, Parabacteroides_distasonis_1, Parabacteroides_distasonis_2	[]	1
Blattabacterium_sp_6, Blattabacterium_sp_2	[30, 31]	1
Blattabacterium_sp_3, Blattabacterium_sp_4	[29]	1
Blattabacterium_sp_1, Blattabacterium_sp_5	[29]	1
Halobacteroides_halobius_2	[]	1
Bacteroides_salanitronis_1	[]	1
Pedobacter_heparinus_1, Sphingobacterium_sp_2	[]	1
Bacteroides_vulgatus_1, Bacteroides_xylanisolvens_1, Xenopus_tropicalis_12, Bacteroides_dorei_2, Bacteroides_dorei_1, Bacteroides_fragilis_1, Bacteroides_fragilis_2, Bacteroides_helcogenes_1, Bacteroides_thetaiotaomicron_1	[]	1
Haliscomenobacter_hydrossis_1	[]	1
Halothermothrix_orenii_2	[]	1
Mesorhizobium_australicum_1, Mesorhizobium_huakuii_1, Mesorhizobium_ciceri_1, Mesorhizobium_opportunistum_1, Mesorhizobium_loti_1	[]	1
Lactococcus_garvieae_1, Lactococcus_lactis_2, Lactococcus_lactis_1	[]	1
Niabella_soli_1, Niastella_koreensis_2, Sphingobacterium_sp_1	[]	1
Chitinophaga_pinensis_1	[]	1
Weeksella_virosa_1	[]	1
Belliella_baltica_1, Echinicola_vietnamensis_1, Algoriphagus_machipongonensis_1	[]	1
Pedobacter_saltans_1	[]	1
Streptococcus_uberis_1, Streptococcus_infantarius_1, Streptococcus_anginosus_1, Streptococcus_mutans_1, Streptococcus_agalactiae_1, Streptococcus_oligofermentans_1, Streptococcus_intermedius_1, Streptococcus_oralis_1, Streptococcus_pasteurianus_1, Streptococcus_macedonicus_1, Streptococcus_gallolyticus_1, Streptococcus_mitis_1, Streptococcus_sanguinis_1, Streptococcus_pseudopneumoniae_2, Streptococcus_dysgalactiae_1, Streptococcus_iniae_1, Streptococcus_constellatus_1, Streptococcus_parasanguinis_1, Streptococcus_lutetiensis_1, Streptococcus_salivarius_1, Streptococcus_gordonii_1, Streptococcus_pneumoniae_2, Streptococcus_pneumoniae_1, Streptococcus_thermophilus_1, Streptococcus_pyogenes_1, Streptococcus_equi_1, Streptococcus_parauberis_1, Streptococcus_suis_1, Streptococcus_sp_1	[]	1
Runella_slithyformis_1	[]	1
Cellulophaga_lytica_1	[55, 56]	1
Planctomyces_brasiliensis_1	[69]	1
Rhodothermus_marinus_1	[]	1
Fluviicola_taffensis_1	[]	1
Flavobacterium_columnare_1	[]	1
Hymenobacter_swuensis_1, Hymenobacter_sp_1, Hymenobacter_sp_2	[]	1
Cyclobacterium_marinum_1	[]	1
Flavobacterium_psychrophilum_1, Flavobacterium_branchiophilum_1, Flavobacterium_johnsoniae_1	[]	1
Polaribacter_sp_1	[47]	1
Paludibacter_propionicigenes_1	[47]	1
Robiginitalea_biformata_1, Draconibacterium_orientale_1, Zobellia_galactanivorans_1, Maribacter_sp_1, Odoribacter_splanchnicus_2, Cellulophaga_baltica_1, Muricauda_lutaonensis_1, Muricauda_ruestringensis_1	[]	1
Candidatus_Azobacteroides_1	[]	1
Barnesiella_viscericola_1, Porphyromonadaceae_bacterium_1	[]	1
Acetohalobium_arabaticum_1	[]	1
Odoribacter_splanchnicus_1	[]	1
endosymbiont_of_2	[]	1
Candidatus_Sulcia_2, Candidatus_Sulcia_3, Candidatus_Sulcia_1	[]	1
Candidatus_Amoebophilus_1, Pontibacter_korlensis_1, Cardinium_endosymbiont_1	[]	1
Marivirga_tractuosa_1	[]	1
Spirosoma_radiotolerans_1, Dyadobacter_fermentans_1, Fibrella_aestuarina_1, Spirosoma_linguale_1, Capnocytophaga_canimorsus_1	[]	1
Myroides_profundi_1, Capnocytophaga_ochracea_1, Myroides_sp_1	[]	1
Pirellula_staleyi_1	[]	1
Planctomyces_limnophilus_1	[48]	1
Saprospira_grandis_1	[]	1
Porphyromonas_asaccharolytica_1	[]	1
Prevotella_sp_1, Prevotella_dentalis_1	[]	1
Prevotella_denticola_1, Prevotella_intermedia_1, Prevotella_melaninogenica_1	[]	1
Croceibacter_atlanticus_1, Zunongwangia_profunda_1, Gramella_forsetii_1, Winogradskyella_sp_2, Siansivirga_zeaxanthinifaciens_1, Lacinutrix_sp_1, Psychroflexus_torquis_1	[]	1
Porphyromonas_gingivalis_1	[]	1
Melioribacter_roseus_1, Chlorobaculum_parvum_1, Ignavibacterium_album_1	[77]	1
Chlorobium_chlorochromatii_1, Chlorobium_phaeovibrioides_1, Chlorobium_phaeobacteroides_2, Chlorobium_phaeobacteroides_1, Pelodictyon_phaeoclathratiforme_1, Prosthecochloris_aestuarii_1, Chloroherpeton_thalassium_1, Chlorobium_limicola_1	[76]	1
Cyanobacterium_stanieri_1, Cyanobacterium_aponinum_1	[]	1
Gasterosteus_aculeatus_16	[]	1
Callorhinchus_milii_9	[]	1
Eubacterium_rectale_2	[]	1
Acinetobacter_baumannii_3	[83]	1
Acinetobacter_calcoaceticus_2, Acinetobacter_baumannii_4, Acinetobacter_baumannii_1, Acinetobacter_oleivorans_1, Acinetobacter_sp_1	[82]	1
Mesoplasma_florum_1	[]	1
Desulfurispirillum_indicum_1	[]	1
Candidatus_Cloacimonas_1	[]	1
Ruminococcus_albus_2	[]	1
Mycoplasma_mycoides_1, Mycoplasma_yeatsii_1, Mycoplasma_leachii_1, Mycoplasma_capricolum_1	[]	1
Alistipes_finegoldii_1, Alistipes_shahii_1	[]	1
Neorickettsia_risticii_1, Neorickettsia_helminthoeca_1, Neorickettsia_sennetsu_1	[]	1
Orientia_tsutsugamushi_1	[]	1
Methylocella_silvestris_1, Beijerinckia_indica_1	[]	1
Acidaminococcus_fermentans_1, Acidaminococcus_intestini_1	[]	1
Ehrlichia_ruminantium_1	[]	1
Bradyrhizobium_japonicum_1, Bradyrhizobium_sp_2, Bradyrhizobium_diazoefficiens_1, Rhodopseudomonas_palustris_2, Nitrobacter_winogradskyi_1, Nitrobacter_hamburgensis_1	[96]	1
alpha_proteobacterium_2	[95]	1
