	Adjacency	Frequency
Cyanothece_sp_10	[]	1
Loxodonta_africana_11	[2]	1
Bos_taurus_92, Loxodonta_africana_12	[1, 75, 323]	1
Ornithorhynchus_anatinus_21	[]	1
Takifugu_rubripes_13	[]	1
Loxodonta_africana_16	[]	1
Blattabacterium_sp_1	[]	1
Winogradskyella_sp_2	[]	1
Streptomyces_nodosus_2	[]	1
Torulaspora_delbrueckii_5	[]	1
Borrelia_duttonii_1, Borrelia_recurrentis_1, Borrelia_crocidurae_1	[]	1
Borrelia_miyamotoi_1	[544]	1
Francisella_tularensis_3	[545]	1
Francisella_philomiragia_2	[546]	1
Candidatus_Mycoplasma_3	[]	1
Candidatus_Zinderia_1	[]	1
Clostridium_botulinum_6	[809]	1
Loxodonta_africana_44	[]	1
Trichechus_manatus_23	[]	1
Trichechus_manatus_56	[]	1
Candidatus_Carsonella_2, Candidatus_Carsonella_4	[21, 875]	1
Candidatus_Carsonella_14	[20]	1
Rattus_norvegicus_22, Petromyzon_marinus_2, Tursiops_truncatus_33, Oryzias_latipes_34, Petromyzon_marinus_30	[23, 916]	1
Danio_rerio_104	[22, 917]	1
Chrysemys_picta_27	[]	1
Taeniopygia_guttata_4	[930]	1
Kangiella_koreensis_1	[]	1
Jeotgalicoccus_sp_3	[]	1
Sorex_araneus_1	[]	1
Amycolatopsis_japonica_5	[1109]	1
Myotis_lucifugus_2	[]	1
Felis_catus_1256	[]	1
Chlorobium_phaeovibrioides_2, Chlorobium_phaeobacteroides_4, Prosthecochloris_aestuarii_4, Chlorobium_limicola_2	[]	1
Felis_catus_263	[]	1
Methylibium_petroleiphilum_7	[]	1
Felis_catus_755	[]	1
Felis_catus_953	[]	1
Felis_catus_1246	[43, 44]	1
Felis_catus_44	[]	1
Felis_catus_633	[1533]	1
Felis_catus_956	[]	1
Felis_catus_1337	[1537]	1
Felis_catus_1264	[]	1
Felis_catus_922	[37]	1
Felis_catus_653	[37]	1
Felis_catus_52	[46, 48, 52, 1627]	1
Felis_catus_774	[45]	1
Felis_catus_138	[]	1
Felis_catus_435	[45]	1
Felis_catus_943	[50]	1
Felis_catus_1013	[49]	1
Felis_catus_1094	[]	1
Felis_catus_498	[45, 1674]	1
Felis_catus_750	[]	1
Canis_familiaris_25	[]	1
Felis_catus_1178	[]	1
Candidatus_Nasuia_1	[]	1
Acinetobacter_baumannii_6	[]	1
Acidaminococcus_fermentans_3	[]	1
Kribbella_flavida_2	[]	1
Aliivibrio_wodanis_2, Aliivibrio_salmonicida_1	[2151]	1
Capnocytophaga_canimorsus_4	[]	1
Acidaminococcus_intestini_3	[]	1
Eubacterium_siraeum_2	[]	1
Brevibacillus_brevis_6, Physcomitrella_patens_20	[]	1
Clostridium_botulinum_18	[2555]	1
Burkholderia_fungorum_2, Burkholderia_phytofirmans_3, Burkholderia_xenovorans_1, Burkholderia_sp_9	[]	1
Candidatus_Portiera_10	[]	1
Candidatus_Portiera_11	[]	1
Naumovozyma_dairenensis_9	[2873]	1
Mustela_putorius_58	[]	1
Finegoldia_magna_4	[]	1
Loxodonta_africana_42	[]	1
Loxodonta_africana_41	[]	1
Gadus_morhua_50	[]	1
Gadus_morhua_63, Gadus_morhua_18, Gadus_morhua_28	[2, 76, 77, 84]	1
Gadus_morhua_62	[75]	1
Gadus_morhua_59	[75]	1
Danio_rerio_145	[85]	1
Gadus_morhua_64	[]	1
Danio_rerio_45, Danio_rerio_302	[81, 3033]	1
Danio_rerio_218	[80, 3036]	1
Cyclobacterium_marinum_4	[]	1
Candidatus_Uzinura_2	[]	1
Gadus_morhua_37	[75]	1
Danio_rerio_192, Danio_rerio_153	[78, 86, 87]	1
Danio_rerio_3	[85]	1
Danio_rerio_232	[85]	1
Psychroflexus_torquis_4	[]	1
Planctomyces_limnophilus_8	[]	1
Methanosarcina_sp_10	[]	1
Methanobrevibacter_ruminantium_2	[]	1
Jeotgalibacillus_sp_4	[]	1
Dactylococcopsis_salina_4, Halothece_sp_3	[]	1
Methanosarcina_vacuolata_5, Methanosarcina_mazei_5, Methanosarcina_horonobensis_5, Methanosarcina_barkeri_4, Methanosarcina_acetivorans_4, Methanosarcina_sp_5, Methanosarcina_thermophila_5, Methanosarcina_siciliae_4	[]	1
Methanosarcina_sp_14, Methanosarcina_lacustris_4	[]	1
endosymbiont_of_5	[]	1
Haliscomenobacter_hydrossis_2	[]	1
Winogradskyella_sp_1	[]	1
Oryzias_latipes_19	[]	1
Paenibacillus_polymyxa_8	[]	1
Taylorella_asinigenitalis_4, Taylorella_equigenitalis_1	[]	1
Candidatus_Pantoea_2	[]	1
Helicobacter_mustelae_1	[]	1
Ornithorhynchus_anatinus_7	[]	1
Bacillus_atrophaeus_4	[]	1
Felis_catus_152	[]	1
Felis_catus_577	[]	1
Felis_catus_871	[]	1
Kazachstania_naganishii_5	[]	1
Callorhinchus_milii_20	[]	1
Taylorella_asinigenitalis_2	[]	1
Streptococcus_pyogenes_10	[]	1
Taylorella_equigenitalis_3	[]	1
Candidatus_Symbiobacter_4	[]	1
Mycobacterium_sp_12	[]	1
Pan_troglodytes_3	[]	1
Loxodonta_africana_109	[]	1
Trichechus_manatus_144	[]	1
Trichechus_manatus_13	[]	1
Trichechus_manatus_89	[]	1
Trichechus_manatus_60	[]	1
Trichechus_manatus_126	[]	1
Shigella_dysenteriae_7, Shigella_dysenteriae_2, Shigella_flexneri_8, Shigella_boydii_1, Shigella_sonnei_5, Shigella_flexneri_1	[]	1
Colwellia_psychrerythraea_3	[]	1
Streptococcus_sanguinis_4	[126]	1
Streptococcus_oligofermentans_4, Streptococcus_gordonii_4, Streptococcus_intermedius_4, Streptococcus_constellatus_4, Streptococcus_anginosus_6, Streptococcus_sp_2	[125]	1
Streptococcus_parasanguinis_3, Streptococcus_pseudopneumoniae_3, Streptococcus_suis_3, Streptococcus_oralis_2, Streptococcus_anginosus_4, Streptococcus_mitis_4, Streptococcus_sp_8, Streptococcus_pneumoniae_3	[]	1
Streptococcus_pneumoniae_7	[]	1
Streptococcus_iniae_2, Streptococcus_equi_4	[131]	1
Streptococcus_parauberis_4	[]	1
Streptococcus_mutans_4, Streptococcus_uberis_4, Streptococcus_dysgalactiae_4, Streptococcus_pyogenes_3	[129]	1
Streptococcus_infantarius_2	[133]	1
Streptococcus_macedonicus_2, Streptococcus_lutetiensis_2, Streptococcus_gallolyticus_2, Streptococcus_pasteurianus_1	[132]	1
Catenulispora_acidiphila_1	[]	1
Lactobacillus_casei_6	[]	1
Streptococcus_agalactiae_4	[]	1
Bos_taurus_34	[]	1
Ogataea_parapolymorpha_2	[]	1
Gallus_gallus_9	[]	1
Frateuria_aurantia_4	[]	1
Staphylococcus_pseudintermedius_3, Staphylococcus_lugdunensis_2, Staphylococcus_epidermidis_4, Staphylococcus_hyicus_4	[]	1
Staphylococcus_xylosus_3, Staphylococcus_saprophyticus_2, Staphylococcus_carnosus_3	[143]	1
Staphylococcus_warneri_3, Staphylococcus_pasteuri_3	[142]	1
Comamonadaceae_bacterium_6, Comamonadaceae_bacterium_1	[]	1
Variovorax_paradoxus_5	[]	1
Variovorax_paradoxus_6	[]	1
Variovorax_paradoxus_7	[]	1
Balaenoptera_acutorostrata_112	[]	1
Bos_taurus_191	[]	1
Salmonella_bongori_1, Salmonella_enterica_8, Salmonella_enterica_4	[151]	1
Escherichia_coli_1	[150]	1
Enterobacter_cloacae_12	[]	1
Shigella_boydii_10, Escherichia_coli_54, Escherichia_coli_56, Shigella_sonnei_6, Escherichia_coli_10, Escherichia_coli_43, Escherichia_coli_28, Escherichia_coli_23	[154, 158, 181]	1
Escherichia_coli_13, Escherichia_coli_12, Escherichia_coli_15, Escherichia_coli_19, Escherichia_coli_21	[153, 159]	1
Salmonella_enterica_10	[]	1
Salmonella_enterica_17, Salmonella_bongori_3, Salmonella_enterica_5	[157]	1
Salmonella_enterica_11	[156]	1
Escherichia_coli_38	[153, 159, 160]	1
Escherichia_coli_36	[154, 158]	1
Escherichia_coli_53	[158]	1
Escherichia_coli_49	[]	1
Escherichia_coli_31	[]	1
Thiolapillus_brandeum_2	[]	1
Dichelobacter_nodosus_4	[]	1
Rhodocyclaceae_bacterium_2, Sulfuritalea_hydrogenivorans_1	[]	1
Marinobacter_similis_4, Alcanivorax_dieselolei_2, Thalassolituus_oleivorans_2	[]	1
Thalassolituus_oleivorans_5	[]	1
Marinobacter_adhaerens_4	[]	1
Halorhodospira_halophila_2	[]	1
Marinobacter_salarius_4	[]	1
Burkholderia_pseudomallei_1, Burkholderia_thailandensis_2, Burkholderia_vietnamiensis_1, Burkholderia_ubonensis_4, Burkholderia_lata_1, Burkholderia_sp_3, Burkholderia_ambifaria_4, Burkholderia_oklahomensis_3, Burkholderia_gladioli_1, Burkholderia_mallei_4, Burkholderia_glumae_2, Burkholderia_cepacia_4, Burkholderia_sp_12, Burkholderia_sp_14, Burkholderia_cenocepacia_4	[]	1
Castellaniella_defragrans_4	[]	1
Burkholderia_dolosa_3, Burkholderia_cepacia_5, Burkholderia_multivorans_3, Burkholderia_rhizoxinica_3	[]	1
Bordetella_parapertussis_1, Bordetella_pertussis_1, Bordetella_bronchiseptica_2	[]	1
Marinomonas_mediterranea_4	[]	1
Alteromonas_macleodii_1	[]	1
Bordetella_holmesii_3, Cupriavidus_basilensis_4, Cupriavidus_metallidurans_5, Bordetella_petrii_3, Bordetella_avium_3	[]	1
Chromohalobacter_salexigens_3	[]	1
Desulfomicrobium_baculatum_2	[]	1
Oleispira_antarctica_2	[]	1
Escherichia_coli_39	[153]	1
Thioalkalimicrobium_cyclicum_2	[183]	1
Thioalkalimicrobium_aerophilum_2	[182]	1
Fimbriimonas_ginsengisoli_1	[]	1
Collimonas_fungivorans_3, Collimonas_arenae_1	[]	1
Lactococcus_garvieae_2	[]	1
Felis_catus_948	[]	1
Gloeocapsa_sp_3	[]	1
Felis_catus_198	[]	1
Felis_catus_1152	[]	1
Felis_catus_266, Felis_catus_1209	[193]	1
Felis_catus_1237, Felis_catus_1216	[194]	1
Felis_catus_781	[191]	1
Felis_catus_808	[192]	1
Felis_catus_99	[]	1
Felis_catus_617	[]	1
Felis_catus_238	[]	1
Felis_catus_217	[]	1
Felis_catus_666	[]	1
Felis_catus_1217	[]	1
Felis_catus_128	[]	1
Felis_catus_1204	[203]	1
Felis_catus_588	[202]	1
