	Adjacency	Frequency
Crinalium_epipsammum_1	[]	1
Trichechus_manatus_2	[]	1
Deinococcus_peraridilitoris_1, Deinococcus_maricopensis_1	[]	1
Desulfotomaculum_acetoxidans_2	[]	1
Niabella_soli_1	[]	1
Niastella_koreensis_1, Niastella_koreensis_2, Chitinophaga_pinensis_1	[]	1
Otolemur_garnettii_4	[]	1
Gasterosteus_aculeatus_32, Danio_rerio_58, Danio_rerio_57, Petromyzon_marinus_65, Chrysemys_picta_1	[43]	1
Gorilla_gorilla_15	[]	1
Oreochromis_niloticus_5	[]	1
Variovorax_paradoxus_2	[]	1
Methanococcus_voltae_1	[]	1
Moritella_viscosa_1	[]	1
Brevundimonas_subvibrioides_1	[]	1
Teredinibacter_turnerae_1, Simiduia_agarivorans_1, Saccharophagus_degradans_1, Cellvibrio_japonicus_1	[]	1
Erythrobacter_litoralis_1	[31, 42]	1
Psychrobacter_sp_1, Psychrobacter_cryohalolentis_1, Psychrobacter_arcticus_1	[]	1
Candidatus_Moranella_1	[]	1
Caulobacter_segnis_1, Caulobacter_crescentus_1	[]	1
Candidatus_Puniceispirillum_1	[]	1
Methanobrevibacter_sp_1	[]	1
Methanobrevibacter_ruminantium_1	[]	1
Methanobrevibacter_smithii_1	[]	1
Pantoea_ananatis_2, Xenorhabdus_bovienii_1	[]	1
Alkaliphilus_oremlandii_1	[]	1
Wigglesworthia_glossinidia_2	[27, 30]	1
Alteromonas_sp_1, Glaciecola_psychrophila_1, Glaciecola_nitratireducens_1, Pseudoalteromonas_atlantica_1, Alteromonas_macleodii_1, Glaciecola_sp_1, Alteromonas_australica_1	[]	1
Blochmannia_endosymbiont_1, Wigglesworthia_glossinidia_1, secondary_endosymbiont_2, Candidatus_Pantoea_2, Candidatus_Riesia_1, Candidatus_Ishikawaella_1	[25, 31]	1
Candidatus_Hodgkinia_1	[]	1
Candidatus_Hodgkinia_3	[]	1
Candidatus_Baumannia_1, Candidatus_Blochmannia_3, Candidatus_Blochmannia_1	[25, 31]	1
Providencia_stuartii_1, Candidatus_Pantoea_1, Erwinia_billingiae_1, Enterobacter_lignolyticus_1, Pantoea_ananatis_1, Enterobacter_aerogenes_1, Sodalis_praecaptivus_2, Shigella_dysenteriae_1, Pantoea_vagans_1, Enterobacter_cloacae_1, Klebsiella_variicola_1, Escherichia_albertii_1, Citrobacter_koseri_1, Shimwellia_blattae_1, Plautia_stali_1, Kosakonia_sacchari_1, Pantoea_sp_1, Enterobacter_asburiae_1, Hafnia_alvei_1, Photorhabdus_asymbiotica_1, Salmonella_enterica_1, Salmonella_enterica_2, Salmonella_enterica_3, Klebsiella_pneumoniae_1, Enterobacteriaceae_bacterium_1, secondary_endosymbiont_1, Raoultella_ornithinolytica_1, Candidatus_Blochmannia_2, Candidatus_Blochmannia_4, Enterobacter_sp_1, Erwinia_pyrifoliae_1, Escherichia_coli_4, Escherichia_coli_1, Escherichia_coli_3, Xenorhabdus_doucetiae_1, Serratia_sp_2, Pectobacterium_carotovorum_1, Cronobacter_turicensis_1, Cronobacter_turicensis_2, Shigella_sonnei_1, Pectobacterium_atrosepticum_1, Rahnella_aquatilis_1, Pectobacterium_wasabiae_1, Xenorhabdus_nematophila_1, Klebsiella_michiganensis_1, Proteus_mirabilis_1, Sodalis_glossinidius_1, Dickeya_dadantii_1, Serratia_plymuthica_2, synthetic_Escherichia_1, Pantoea_rwandensis_1, Morganella_morganii_1, Serratia_liquefaciens_1, Erwinia_amylovora_1, Serratia_multitudinisentens_1, Erwinia_tasmaniensis_1, Salmonella_bongori_1, Pectobacterium_sp_1, Dickeya_zeae_1, Cedecea_neteri_1, Edwardsiella_ictaluri_1, Shigella_flexneri_1, Shigella_boydii_1, Escherichia_fergusonii_1, Cronobacter_sakazakii_1, Citrobacter_rodentium_1, Serratia_proteamaculans_1, Buchnera_aphidicola_5, Buchnera_aphidicola_4, Buchnera_aphidicola_1, Buchnera_aphidicola_3, Buchnera_aphidicola_2, Xenorhabdus_poinarii_2, Xenorhabdus_poinarii_1, Candidatus_Sodalis_2, Edwardsiella_tarda_1, Serratia_symbiotica_1, Serratia_marcescens_1, Erwinia_sp_1, Klebsiella_oxytoca_1, Citrobacter_freundii_1, Xenorhabdus_bovienii_2, Rahnella_sp_1, Edwardsiella_piscicida_1, Pluralibacter_gergoviae_1	[15, 27, 30, 32]	1
Sodalis_praecaptivus_1	[31]	1
Candidatus_Sodalis_1	[]	1
