	Adjacency	Frequency
Gadus_morhua_21	[]	1
Macaca_mulatta_3	[]	1
Oscillatoria_nigro-viridis_2	[]	1
Cylindrospermum_stagnale_2	[]	1
Oscillatoria_acuminata_1	[8]	1
Microcoleus_sp_1	[]	1
Acaryochloris_marina_2	[]	1
Nostoc_sp_3, Anabaena_cylindrica_1	[10]	1
Nostoc_sp_1	[4]	1
Chroococcidiopsis_thermalis_1	[]	1
Calothrix_sp_4	[7]	1
Nostoc_sp_5	[]	1
Ornithorhynchus_anatinus_12	[]	1
Mustela_putorius_3, Callorhinchus_milii_3, Petromyzon_marinus_14	[]	1
Bos_taurus_22	[]	1
Calothrix_sp_2	[]	1
Jeotgalibacillus_sp_3	[]	1
Gloeobacter_kilaueensis_2	[]	1
Paenibacillus_polymyxa_2	[]	1
Callithrix_jacchus_3, Saimiri_boliviensis_2	[]	1
Methylobacterium_nodulans_2	[]	1
Candidatus_Zinderia_1	[]	1
Fusarium_graminearum_8	[]	1
Thermoproteus_tenax_1	[]	1
Acidithiobacillus_ferrooxidans_2	[]	1
Oreochromis_niloticus_12	[]	1
Danio_rerio_31	[]	1
Pongo_pygmaeus_1	[]	1
Xenopus_tropicalis_20	[29]	1
Otolemur_garnettii_3	[28, 30, 779]	1
Danio_rerio_4, Loxodonta_africana_17	[29, 31, 33]	1
Cavia_porcellus_2	[30]	1
Danio_rerio_24	[]	1
Danio_rerio_37	[30]	1
Monodelphis_domestica_4, Sus_scrofa_7	[183]	1
Latimeria_chalumnae_3	[]	1
Oreochromis_niloticus_5	[]	1
Chloroflexus_aggregans_1, Chloroflexus_aurantiacus_1, Chloroflexus_sp_1	[]	1
Candidatus_Desulforudis_1	[]	1
Methanococcus_vannielii_1, Methanococcus_voltae_1, Methanococcus_maripaludis_1	[]	1
Treponema_primitia_1	[]	1
Treponema_azotonutricium_1	[]	1
Desulfotomaculum_gibsoniae_1	[]	1
Ammonifex_degensii_1, Thermincola_potens_1, Carboxydothermus_hydrogenoformans_1, Desulfotomaculum_acetoxidans_2	[]	1
Pelotomaculum_thermopropionicum_1, Desulfotomaculum_kuznetsovii_1	[]	1
Herpetosiphon_aurantiacus_1	[]	1
Sorex_araneus_3	[]	1
candidate_division_1	[]	1
Roseiflexus_castenholzii_1, Roseiflexus_sp_1	[]	1
Methanobrevibacter_smithii_1	[]	1
Methanobrevibacter_sp_1	[]	1
Methanobrevibacter_ruminantium_1	[]	1
Corallococcus_coralloides_1	[]	1
Methanosaeta_thermophila_1	[56]	1
Gluconobacter_oxydans_2	[]	1
Gluconacetobacter_diazotrophicus_1, Gluconobacter_oxydans_1, Granulibacter_bethesdensis_1, Komagataeibacter_xylinus_1, Acetobacter_pasteurianus_1, Komagataeibacter_medellinensis_1	[]	1
Methanosaeta_concilii_1	[53]	1
Finegoldia_magna_1	[]	1
Candidatus_Midichloria_1	[]	1
endosymbiont_of_1	[]	1
Sebaldella_termitidis_1, Leptotrichia_buccalis_1	[80]	1
Candidatus_Pantoea_1	[]	1
Candidatus_Liberibacter_2	[]	1
Methanohalobium_evestigatum_1	[104]	1
Marinomonas_sp_2	[]	1
Lachnoclostridium_phytofermentans_1, butyrate-producing_bacterium_1, Clostridium_cf_1, Ruminococcus_torques_1, Coprococcus_catus_1	[]	1
Pseudoalteromonas_haloplanktis_1, Pseudoalteromonas_atlantica_1, Glaciecola_sp_1	[]	1
Glaciecola_psychrophila_1, Candidatus_Blochmannia_2	[]	1
Ruminococcus_sp_1, butyrate-producing_bacterium_3, Ruminiclostridium_thermocellum_1, Peptoniphilus_sp_1, Ruminococcus_obeum_1, Clostridium_clariflavum_1	[82]	1
Pelobacter_carbinolicus_1	[]	1
Pseudomonas_entomophila_1, Pseudomonas_sp_2, Pseudomonas_cremoricolorata_1, Geobacter_uraniireducens_1, Pseudomonas_parafulva_1, Marinomonas_posidonica_1, Geobacter_sp_1, Pseudomonas_plecoglossicida_1, Geobacter_metallireducens_1, Pseudomonas_putida_1, Marinomonas_sp_1, Geobacter_sulfurreducens_1, Pseudomonas_mosselii_1, Geobacter_bemidjiensis_1, Pseudomonas_monteilii_1	[]	1
Pseudoalteromonas_sp_1, Desulfurispirillum_indicum_1, Marinomonas_mediterranea_1, Filifactor_alocis_1, Parvimonas_micra_1, Gynuella_sunshinyii_1, Acetobacterium_woodii_1, Clostridium_sticklandii_1, Eubacterium_limosum_1	[106]	1
Butyrivibrio_fibrisolvens_1, Mageeibacillus_indolicus_1	[]	1
Bartonella_henselae_1, Bartonella_grahamii_1, Bartonella_clarridgeiae_1, Tolumonas_auensis_1, Bartonella_vinsonii_1, Martelella_endophytica_1, Bartonella_tribocorum_1, Bartonella_bacilliformis_1, Bartonella_quintana_2, Bartonella_quintana_1, Bartonella_australis_1	[]	1
Agrobacterium_radiobacter_1, Rhizobium_tropici_1, Rhizobium_gallicum_1, Rhizobium_sp_2, Rhodobacter_capsulatus_1, Rhodobacter_sphaeroides_2	[]	1
Mesorhizobium_australicum_1, Mesorhizobium_huakuii_1, Mesorhizobium_ciceri_1, Mesorhizobium_opportunistum_1, Mesorhizobium_loti_1	[]	1
Clostridium_sp_1, Clostridium_cellulolyticum_1	[]	1
Pseudomonas_syringae_1, Aeromonas_media_1, Pseudomonas_fluorescens_1, Pseudomonas_brassicacearum_1, Pseudomonas_protegens_1, Pseudomonas_chlororaphis_1, Pseudomonas_rhizosphaerae_1, Pseudomonas_sp_3, Pseudomonas_poae_1, Aeromonas_veronii_1, Pseudomonas_mandelii_1, Pseudomonas_alkylphenolia_1, Pseudomonas_simiae_1, Pseudomonas_cichorii_1, Aeromonas_salmonicida_1, Aeromonas_hydrophila_1, Pseudomonas_savastanoi_1	[]	1
Teredinibacter_turnerae_1, Clostridium_stercorarium_1, Alkaliphilus_oremlandii_1, Alkaliphilus_metalliredigens_1, Anaerococcus_prevotii_1, Hahella_chejuensis_2, Fusobacterium_nucleatum_1, Ilyobacter_polytropus_1, Eubacterium_acidaminophilum_1, Clostridium_sordellii_1, Peptoclostridium_difficile_1, Oceanimonas_sp_1, Gallibacterium_anatis_1	[]	1
Geobacter_lovleyi_1	[]	1
Sneathia_sp_1, Streptobacillus_moniliformis_1	[60]	1
Coprococcus_sp_2, butyrate-producing_bacterium_2	[82]	1
Clostridium_saccharolyticum_1	[68, 81]	1
Nautilia_profundicola_1	[]	1
Sphingomonas_sp_1	[]	1
Methylomonas_methanica_1	[86]	1
Thiolapillus_brandeum_1, Geoalkalibacter_subterraneus_1, Thioflavicoccus_mobilis_1	[85]	1
Acidithiobacillus_ferrooxidans_1, Geobacter_pickeringii_1, Geobacter_daltonii_1, Sorangium_cellulosum_1, Pelobacter_propionicus_1	[]	1
Deferribacter_desulfuricans_1	[106, 290]	1
Rhizobium_etli_2, Rhizobium_leguminosarum_1	[]	1
Polymorphum_gilvum_1, Rhodomicrobium_vannielii_1	[]	1
Haliangium_ochraceum_1	[]	1
Parvularcula_bermudensis_1, Methyloceanibacter_caenitepidi_1, Chelativorans_sp_1, Tistrella_mobilis_1, Pelagibacterium_halotolerans_1, Simiduia_agarivorans_1, Rhizobium_etli_1	[291]	1
Desulfobacterium_autotrophicum_1	[]	1
Desulfobacula_toluolica_1, Marichromatium_purpuratum_1, endosymbiont_of_3	[]	1
Azospirillum_sp_1, Pseudomonas_mendocina_1, Azotobacter_chroococcum_1, Pseudomonas_fulva_1, Pseudomonas_stutzeri_1, Pseudomonas_aeruginosa_1, Pseudomonas_denitrificans_1, Pseudomonas_knackmussii_1, Pseudomonas_sp_1, Pseudomonas_pseudoalcaligenes_1, Pseudomonas_resinovorans_1, Azotobacter_vinelandii_1, Pseudomonas_balearica_1, Azospirillum_brasilense_1, Azospirillum_lipoferum_1	[]	1
Stigmatella_aurantiaca_1, Myxococcus_stipitatus_1, Rhodospirillum_centenum_1, Flexistipes_sinusarabici_1, Myxococcus_xanthus_1, Denitrovibrio_acetiphilus_1, Myxococcus_fulvus_2	[]	1
Calditerrivibrio_nitroreducens_1	[]	1
Magnetococcus_marinus_1	[]	1
Hyphomicrobium_nitrativorans_1, Hyphomicrobium_denitrificans_1	[]	1
Hyphomicrobium_sp_1	[]	1
Methylobacterium_radiotolerans_1, Methylobacterium_extorquens_1, Sphingomonas_wittichii_1, Rhodospirillum_photometricum_1, Xanthobacter_autotrophicus_1	[]	1
Methylobacterium_nodulans_1, Acidiphilium_cryptum_1, Methylobacterium_populi_1, Methylocystis_sp_1, Methylocella_silvestris_1, Magnetospirillum_magneticum_1, Bradyrhizobium_japonicum_2, Bradyrhizobium_sp_1, Bradyrhizobium_sp_2, Beijerinckia_indica_1, Parvibaculum_lavamentivorans_1, Methylobacterium_sp_1, Azorhizobium_caulinodans_1, Bradyrhizobium_oligotrophicum_1, Bradyrhizobium_diazoefficiens_2, Rhodopseudomonas_palustris_1, Starkeya_novella_1, Oligotropha_carboxidovorans_1, Acidiphilium_multivorum_1, Magnetospirillum_gryphiswaldense_1, Nitrobacter_winogradskyi_1, Nitrobacter_hamburgensis_1, Methylobacterium_oryzae_1	[]	1
Zymomonas_mobilis_1	[]	1
Methanosalsum_zhilinae_1, Methanosarcina_vacuolata_1, Methanohalophilus_mahii_1, Methanococcoides_burtonii_1, Methanosarcina_mazei_1, Methanolobus_psychrophilus_1, Methanosarcina_acetivorans_1, Methanosarcina_sp_1, Methanosarcina_siciliae_1, Methanomethylovorans_hollandica_1, Methanosarcina_barkeri_1, Methanosarcina_thermophila_1, Methanosarcina_lacustris_1, Methanosarcina_horonobensis_1	[63, 292]	1
Acidithiobacillus_ferrivorans_1	[]	1
Acidithiobacillus_caldus_1	[71, 88]	1
Methanosaeta_harundinacea_1	[]	1
Brachyspira_murdochii_1	[]	1
Eubacterium_rectale_1	[]	1
